lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
3320.771000,3939.428000,3891.698182,8243.518985,8716.344101,12043.000000,12043.000000,2.279302,4.156910,9.697341,4.156927,10.062605,301.626627,300.000000,New,4,142421,12545
0.000000,2207.314083,2207.314083,5291.650626,6482.944444,6647.819149,6482.944444,0.092265,0.828969,10.747733,0.828974,10.904566,261.279503,300.000000,Farkas,4,212199,19096
0.000000,1737.266973,1737.266973,2968.196994,3499.711766,3547.446325,3499.711766,0.090726,0.380227,2.075054,0.380233,2.093568,2.832850,300.000000,Farkas,4,1116,70
0.000000,1312.891778,1312.891778,1990.650072,2033.398566,2033.398566,2033.398566,0.086518,0.382147,0.555678,0.382165,0.559777,0.685833,300.000000,Farkas,4,110,8
0.000000,1843.325873,1843.325873,3912.977791,4902.224087,5636.654762,5464.833333,0.074697,0.811649,6.882882,0.811662,302.223743,303.007070,300.000000,Farkas,4,223934,25129
0.000000,1570.494470,1570.494470,2042.194719,2688.937819,2688.937819,2688.937819,0.097145,0.426246,1.284446,0.426251,1.303723,2.321105,300.000000,Farkas,4,1120,106
0.000000,2102.027992,2102.027992,4564.067630,5572.184524,6008.877500,5572.184524,0.085229,2.489842,11.128697,2.489844,11.301694,118.694143,300.000000,Farkas,4,93460,7602
0.000000,2338.457898,2335.245290,5727.389704,6444.796696,7510.985185,7401.066667,0.085194,1.225335,10.188441,1.225343,10.338310,301.844529,300.000000,Farkas,4,185872,16271
0.000000,2124.357438,2121.568386,4222.467943,5372.205313,5834.699167,5624.283333,0.082651,0.997687,10.257851,0.997702,257.630759,302.087991,300.000000,Farkas,4,208877,21117
0.000000,1688.605622,1688.605622,3019.689355,3055.793103,3116.636364,3055.793103,0.089730,0.662358,2.227085,0.662366,2.252115,2.769289,300.000000,Farkas,4,1418,14
0.000000,806.195994,806.195994,1364.539109,1460.813876,1460.813876,1460.813876,0.106906,0.389447,0.543175,0.389452,0.549566,0.644036,300.000000,Farkas,4,113,6
