lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
3320.771000,4526.203000,4328.147204,8281.002011,8779.802481,12043.000000,12043.000000,9.832660,11.702049,18.278746,11.702064,18.731823,301.424298,300.000000,New,16,131152,11958
0.000000,4125.741000,3420.320166,7584.926112,8395.382605,11584.000000,11584.000000,0.267365,1.204097,5.357275,1.204105,5.662352,301.891027,300.000000,Farkas,16,132866,14108
0.000000,-10965.009000,-11138.158000,-8823.452295,-7286.065570,-7101.000000,-7145.000000,0.288347,1.310589,2.697363,1.310594,119.698276,302.297316,300.000000,Farkas,16,249270,35134
0.000000,3729.711000,3063.123372,7167.180852,8021.503728,11650.000000,11650.000000,0.271370,2.095758,7.559322,2.095772,7.880278,301.902738,300.000000,Farkas,16,136810,14526
0.000000,4372.022000,4122.971155,8141.552290,8735.247218,12180.000000,12180.000000,0.267362,2.069931,7.987199,2.069936,8.344021,301.377247,300.000000,Farkas,16,123056,12520
0.000000,2280.239000,1957.107498,6596.512653,7387.531698,10495.000000,10495.000000,0.283229,1.679040,7.311921,1.679047,7.695373,301.741243,300.000000,Farkas,16,142641,12311
0.000000,3410.584000,3120.100382,7136.535663,7845.579696,11605.000000,11605.000000,0.269071,2.015471,7.091679,2.015477,7.375701,302.009964,300.000000,Farkas,16,143018,14318
0.000000,3588.506000,2963.621508,7627.267956,8283.730435,11407.000000,11407.000000,0.283334,2.197151,7.438281,2.197167,7.742143,301.768380,300.000000,Farkas,16,125304,13137
0.000000,4441.626000,3943.909704,8154.929512,8869.728241,12873.000000,12873.000000,0.279594,1.381769,8.027520,1.381775,8.434793,301.733867,300.000000,Farkas,16,130382,12318
0.000000,3368.053000,3125.645723,7565.613550,8216.910968,11944.000000,11944.000000,0.262978,1.290119,6.596521,1.290139,6.925457,301.644503,300.000000,Farkas,16,134000,12201
0.000000,3992.496000,3499.197531,7548.670256,8331.647501,11964.000000,11964.000000,0.268383,1.228375,6.293461,1.228378,6.603573,302.166962,300.000000,Farkas,16,140663,14652
