lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
0.000000,0.000000,0.000000,0.000000,0.000000,92.000000,18.000000,0.039267,1.100880,1.114254,1.100779,9.058134,315.503391,300.000000,None,64,560375,204016
0.000000,0.000000,0.000000,0.000000,0.000000,67.000000,28.000000,0.004236,0.833698,0.844582,0.833706,0.849694,302.589285,300.000000,None,64,590969,211292
0.000000,0.000000,0.000000,0.000000,0.000000,53.000000,26.000000,0.005409,0.543133,0.583435,0.543135,124.900788,302.275651,300.000000,None,64,584689,209893
0.000000,0.000000,0.000000,0.000000,0.000000,94.000000,39.000000,0.005450,0.378526,0.391698,0.378530,74.700500,302.280029,300.000000,None,64,627485,207132
0.000000,0.000000,0.000000,0.000000,0.000000,97.000000,33.000000,0.006200,0.562915,0.576212,0.562917,96.845952,302.660162,300.000000,None,64,577441,206001
0.000000,0.000000,0.000000,0.000000,0.000000,49.000000,23.000000,0.006263,0.511186,0.524467,0.511187,62.737258,302.228807,300.000000,None,64,593992,206888
0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,24.000000,0.005688,0.443639,0.457560,0.443639,132.636851,302.366394,300.000000,None,64,567052,205913
0.000000,0.000000,0.000000,0.000000,0.000000,89.000000,21.000000,0.006444,0.532080,0.546156,0.532082,41.186412,302.210337,300.000000,None,64,614772,209121
0.000000,0.000000,0.000000,0.000000,0.000000,60.000000,31.000000,0.005652,0.371727,0.412171,0.371730,122.286624,302.359234,300.000000,None,64,627884,211921
0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,21.000000,0.006028,0.556434,0.577480,0.556438,36.633696,302.306927,300.000000,None,64,619175,210818
0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,35.000000,0.005568,0.713858,0.731135,0.713859,0.734806,302.167432,300.000000,None,64,569558,209306
