lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
-59987.196374,-59987.196374,-59987.196374,-52894.050235,-52124.020190,-50768.000000,-50768.000000,0.033146,4.014418,4.349499,4.014437,4.364127,302.126873,300.000000,None,64,138063,24292
-59988.428636,-59988.428636,-59988.428636,-53533.346945,-52747.331966,-50790.000000,-50790.000000,0.037488,5.474328,6.298319,5.474336,6.313606,302.510092,300.000000,None,64,116837,24673
-59987.456650,-59987.456650,-59987.456650,-53145.714816,-52354.580451,-50133.000000,-50145.260870,0.035305,5.517675,5.753069,5.517679,5.768650,302.354776,300.000000,None,64,101161,24344
-59989.409295,-59989.409295,-59989.409295,-53224.390946,-52423.503242,-50771.000000,-50950.000000,0.034545,6.372635,6.695326,6.372647,93.722030,300.653351,300.000000,None,64,100371,24011
-59990.019852,-59990.019852,-59990.019852,-53229.189828,-52395.124080,-50393.628064,-50393.628064,0.032435,3.287826,4.032054,3.287842,4.048372,300.537037,300.000000,None,64,114957,24735
-59992.454869,-59992.454869,-59992.454869,-53495.439717,-52663.281549,-50164.549736,-50187.307692,0.041244,5.493273,6.252804,5.493282,6.268552,300.853060,300.000000,None,64,124566,24970
-59991.164704,-59991.164704,-59991.164704,-53505.818098,-52654.750313,-51161.166667,-51381.212500,0.035988,5.930669,6.458358,5.930677,6.472185,300.570563,300.000000,None,64,117167,25152
-60011.937021,-60011.937021,-60011.937021,-53840.397691,-53103.616508,-50960.121920,-50960.121920,0.036797,4.498376,4.921991,4.498386,4.935846,300.618824,300.000000,None,64,113256,25840
-59989.623979,-59989.623979,-59989.623979,-53420.885836,-52559.421630,-50437.881944,-50440.504902,0.037267,2.886661,3.257071,2.886668,190.607106,300.707578,300.000000,None,64,104553,25508
-59988.488499,-59988.488499,-59988.488499,-53435.719269,-52564.094572,-50851.000000,-50851.000000,0.036583,5.079265,5.406938,5.079273,5.420074,300.555658,300.000000,None,64,129329,24474
-59988.652841,-59988.652841,-59988.652841,-53823.441080,-53008.604863,-50523.790476,-50554.538462,0.037023,2.613204,3.177466,2.613210,3.192400,301.648387,300.000000,None,64,122972,26049
