lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
134.915590,134.915590,134.915590,143.653501,145.015871,154.000000,151.000000,0.095928,1.205157,3.892297,1.205172,3.993473,301.054309,300.000000,None,64,119997,11604
134.836603,134.836603,134.836603,143.048825,143.138527,154.000000,148.000000,0.102410,1.206920,4.792358,1.206926,5.314448,301.423993,300.000000,None,64,163660,11012
134.990180,134.990180,134.990180,143.624498,143.624498,151.000000,149.000000,0.095314,1.289685,4.449095,1.289694,4.578868,301.449827,300.000000,None,64,188091,10377
135.116528,135.116528,135.116528,142.281577,144.483084,151.000000,150.000000,0.105472,1.063143,4.489416,1.063153,18.716245,301.468017,300.000000,None,64,150725,11721
134.740156,134.740156,134.740156,142.049107,143.542990,158.000000,150.000000,0.106945,1.571519,4.852268,1.571523,5.484023,301.134861,300.000000,None,64,132172,11300
136.236125,136.236125,136.236125,143.983773,143.983773,157.000000,152.000000,0.086862,0.953483,4.320792,0.953488,4.450916,301.826753,300.000000,None,64,115967,11001
135.166250,135.166250,135.166250,143.264132,144.439328,160.000000,151.000000,0.088656,2.937050,6.698439,2.937056,140.505508,301.408295,300.000000,None,64,151930,11251
134.905174,134.905174,134.905174,143.574000,143.574000,151.000000,151.000000,0.106735,1.101292,4.408112,1.101297,4.524271,300.748872,300.000000,None,64,166352,10630
134.708875,134.708875,134.708875,142.376803,144.327624,154.000000,149.000000,0.111126,1.021752,4.407997,1.021758,24.459007,301.198798,300.000000,None,64,151352,11100
136.087812,136.087812,136.087813,143.236825,143.236825,157.000000,148.000000,0.099124,2.251446,5.862969,2.251451,28.578858,300.132798,300.000000,None,64,185174,9861
135.582129,135.582129,135.582129,145.032038,145.032038,152.000000,149.000000,0.122460,1.581107,4.917227,1.581112,18.284847,300.667618,300.000000,None,64,187883,8307
