lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
94.216250,94.216250,94.216250,102.882545,105.440956,115.000000,111.000000,0.047590,0.534388,2.080704,0.534398,2.154967,302.791915,300.000000,None,16,171522,18269
94.216250,94.216250,94.216250,102.882545,105.441282,115.000000,111.000000,0.048631,0.528882,2.072953,0.528885,2.146670,300.894604,300.000000,None,16,171878,18302
95.298750,95.298750,95.298750,102.491231,104.825119,116.000000,110.000000,0.044247,0.662134,1.748229,0.662146,2.022857,300.518720,300.000000,None,16,154684,17452
94.216250,94.216250,94.216250,101.179597,103.801624,113.000000,109.000000,0.049429,0.619231,2.568900,0.619235,2.933749,302.676044,300.000000,None,16,154923,16978
94.216250,94.216250,94.216250,102.065415,103.747471,114.000000,108.000000,0.048747,0.583798,2.352673,0.583802,63.867460,300.309025,300.000000,None,16,164614,15413
94.642500,94.642500,94.642500,102.648819,104.865357,117.000000,109.000000,0.043397,0.533633,2.605482,0.533640,240.803310,300.919019,300.000000,None,16,147762,15588
93.962500,93.962500,93.962500,101.826261,104.224406,112.000000,107.000000,0.058556,0.838217,2.755673,0.838219,4.600198,300.488216,300.000000,None,16,198529,16198
94.216250,94.216250,94.216250,102.882545,105.441199,115.000000,111.000000,0.050639,0.530199,2.070649,0.530203,2.144402,300.284316,300.000000,None,16,171878,18300
94.216250,94.216250,94.216250,102.882545,105.440450,115.000000,111.000000,0.051433,0.530426,2.071767,0.530427,2.145555,300.278408,300.000000,None,16,171830,18295
94.216250,94.216250,94.216250,100.991974,103.919621,114.000000,109.000000,0.037296,0.519602,2.854454,0.519617,3.070963,301.531176,300.000000,None,16,162405,18113
94.436250,94.436250,94.436250,101.682138,104.138008,115.000000,107.000000,0.035495,0.676543,1.855552,0.676558,13.939957,300.311250,300.000000,None,16,176163,17932
