lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
100.878750,102.190000,100.947550,109.621403,115.504249,122.000000,119.000000,2.611754,3.062753,4.578938,3.062767,4.693291,301.431168,300.000000,New,4,189457,15577
101.099687,101.991875,101.255313,112.099437,116.292154,127.000000,121.000000,0.607154,1.080127,3.540786,1.080132,3.933923,302.933871,300.000000,Old,4,167363,16894
100.400625,101.788750,100.579375,111.248256,115.930831,126.000000,120.000000,0.629202,1.211212,3.598920,1.211217,7.028268,300.752320,300.000000,Old,4,180850,16483
101.115000,102.426250,101.532596,111.630650,115.766579,124.000000,121.000000,1.028620,1.934899,4.027883,1.934902,4.591139,300.842945,300.000000,Old,4,173747,15894
100.822812,101.197500,100.873812,111.499461,115.063381,129.000000,121.000000,0.944625,1.454598,3.832674,1.454603,13.445264,302.310205,300.000000,Old,4,178107,14784
100.878750,102.190000,101.007348,109.811390,115.090662,127.000000,122.000000,0.980423,1.442976,3.028364,1.442988,3.118843,301.814666,300.000000,Old,4,154942,16768
99.344792,100.848750,99.518180,110.062546,115.739164,119.000000,118.000000,0.943124,1.646903,3.642352,1.646914,3.713499,302.002705,300.000000,Old,4,206722,15888
50.495625,51.168750,50.570625,57.759781,59.499324,61.500000,60.000000,0.814120,1.358541,3.488728,1.358547,224.040027,300.770414,300.000000,Old,4,201586,16481
100.878750,102.190000,101.002047,112.343606,115.390227,122.000000,119.000000,1.578919,2.186204,4.231752,2.186208,26.798498,301.651814,300.000000,Old,4,180426,14328
101.234375,102.343438,101.387247,113.461601,117.416446,127.000000,121.000000,0.694407,1.543967,3.933642,1.543971,8.640108,301.304297,300.000000,Old,4,182217,15692
100.878750,102.320000,101.043111,111.859776,115.491375,125.000000,122.000000,1.110799,1.554834,3.732178,1.554839,11.769052,301.906939,300.000000,Old,4,180996,16055
