lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
0.000000,0.000000,0.000000,0.000000,4.556314,23.000000,13.000000,0.048016,2.178684,2.246359,2.178622,25.301364,301.735543,300.000000,None,64,536852,37261
2.000000,2.000000,2.000000,2.000000,4.900198,20.000000,17.000000,0.010075,1.283261,1.336476,1.283265,152.251668,301.630719,300.000000,None,64,557909,39657
1.000000,1.000000,1.000000,1.000000,4.371365,23.000000,15.000000,0.008808,1.693366,1.748561,1.693370,1.773998,301.068383,300.000000,None,64,557243,37781
5.000000,5.000000,5.000000,5.000000,5.000000,24.000000,15.000000,0.010895,1.674763,1.713445,1.674768,157.813646,302.664007,300.000000,None,64,595138,38653
6.000000,6.000000,6.000000,6.000000,6.000000,24.000000,14.000000,0.011655,1.692755,1.738433,1.692760,52.018964,300.861620,300.000000,None,64,595565,38517
6.000000,6.000000,6.000000,6.000000,6.000000,19.000000,15.000000,0.009259,2.068600,2.110555,2.068605,266.181487,300.705039,300.000000,None,64,577072,37703
6.000000,6.000000,6.000000,6.000000,6.000000,20.000000,13.000000,0.009713,1.998363,2.033506,1.998369,286.025551,300.412325,300.000000,None,64,577692,38023
4.000000,4.000000,4.000000,4.000000,5.072218,24.000000,19.000000,0.013481,1.329586,1.370993,1.329588,1.380948,300.642822,300.000000,None,64,566604,38993
2.000000,2.000000,2.000000,2.000000,3.529914,22.000000,17.000000,0.009059,1.604439,1.643996,1.604444,285.239948,300.679946,300.000000,None,64,558950,37993
4.000000,4.000000,4.000000,4.000000,5.224427,20.000000,18.000000,0.006979,1.327071,1.369176,1.327084,284.526204,300.468471,300.000000,None,64,575291,39338
2.000000,2.000000,2.000000,2.000000,4.799080,19.000000,18.000000,0.010498,3.151043,3.192226,3.151048,8.145194,300.445714,300.000000,None,64,552135,39030
