lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
-100.000000,-98.000000,-99.000000,-85.570243,-85.570243,-51.000000,-59.000000,2.984890,3.796775,15.170363,3.796789,15.378383,302.064972,300.000000,New,4,138926,5597
-100.000000,-98.000000,-99.000000,-85.509746,-85.509746,-51.000000,-61.000000,1.047398,1.874946,15.200208,1.874964,15.519707,300.542861,300.000000,Old,4,122482,5595
-100.000000,-99.000000,-99.000000,-85.359108,-85.359108,-51.000000,-58.000000,0.909883,1.707204,13.600813,1.707208,13.827786,301.908831,300.000000,Old,4,121724,6288
-100.000000,-98.000000,-99.000000,-85.252895,-85.252895,-53.000000,-58.000000,0.926634,1.596539,14.364204,1.596559,14.567278,300.391386,300.000000,Old,4,125750,6233
-100.000000,-98.000000,-99.000000,-85.534466,-85.534466,-51.000000,-59.000000,1.212627,2.095679,14.287718,2.095698,14.514530,300.393948,300.000000,Old,4,84614,5802
-100.000000,-98.000000,-99.000000,-85.696896,-85.696896,-51.000000,-59.000000,1.000315,1.853303,14.418529,1.853321,14.698439,302.410682,300.000000,Old,4,134001,6586
-100.000000,-98.000000,-99.000000,-85.354726,-85.354726,-51.000000,-57.000000,0.997054,1.799847,14.775422,1.799866,15.102021,301.234552,300.000000,Old,4,148896,5502
-100.000000,-98.000000,-99.000000,-85.727319,-85.727319,-51.000000,-58.000000,0.944482,1.883280,14.683490,1.883298,14.891169,302.203476,300.000000,Old,4,136054,5639
-100.000000,-98.000000,-99.000000,-85.471928,-85.471928,-48.000000,-58.000000,1.196610,1.972634,12.537164,1.972662,12.867184,302.031680,300.000000,Old,4,154162,6104
-100.000000,-98.000000,-99.000000,-85.754096,-85.754096,-51.000000,-60.000000,0.976453,1.765138,14.466396,1.765153,14.683314,301.459777,300.000000,Old,4,139135,6309
