lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
613590.095426,613590.095426,613590.095426,628236.115115,628265.247534,100000000000000007629769841091887003294964970946560.000000,868300.000000,0.239910,0.817093,7.322091,58.729296,58.729269,300.213629,300.000000,None,16,116837,5492
611901.969823,611901.969823,611901.969823,619256.628821,619256.628821,100000000000000007629769841091887003294964970946560.000000,1021724.000000,0.045077,0.617277,5.211938,32.375080,182.181076,300.141356,300.000000,None,16,79744,5353
613608.997017,613608.997017,613608.997017,621685.278474,621685.278474,100000000000000007629769841091887003294964970946560.000000,1054446.000000,0.044232,0.418278,6.186723,12.726055,259.001190,300.205073,300.000000,None,16,91376,6364
612361.404891,612361.404891,612361.404891,627290.447731,627389.743282,100000000000000007629769841091887003294964970946560.000000,934807.000000,0.046417,0.356328,4.893180,150.678055,159.171651,300.161092,300.000000,None,16,87911,5573
612966.547368,612966.547368,612966.547368,619188.385700,619188.385700,100000000000000007629769841091887003294964970946560.000000,1219042.000000,0.044173,0.410218,4.884143,13.788341,13.788470,300.175588,300.000000,None,16,78730,5505
613578.364283,613578.364283,613578.364283,619758.459629,619762.653199,100000000000000007629769841091887003294964970946560.000000,1145549.000000,0.043088,0.443245,6.209201,286.814825,286.814955,300.118164,300.000000,None,16,75753,5275
613477.389823,613477.389823,613477.389823,621881.501020,621881.501020,100000000000000007629769841091887003294964970946560.000000,976937.000000,0.035361,0.624942,7.805001,14.163969,25.996674,300.225656,300.000000,None,16,82524,7687
613410.513466,613410.513466,613410.513466,629468.847093,629477.934888,100000000000000007629769841091887003294964970946560.000000,913641.000000,0.041566,0.615982,5.347975,124.592375,124.592501,300.214739,300.000000,None,16,118229,4461
613194.153064,613194.153064,613194.153064,626025.602022,626025.602022,100000000000000007629769841091887003294964970946560.000000,868480.000000,0.038476,1.021307,5.886320,13.006568,19.693566,300.299803,300.000000,None,16,114956,7317
613606.274035,613606.274035,613606.274035,624901.998595,625877.896771,100000000000000007629769841091887003294964970946560.000000,954800.000000,0.035894,0.353166,5.571311,75.814156,99.076497,300.266316,300.000000,None,16,123558,4684
613017.340654,613017.340654,613017.340654,619104.025156,619104.025156,100000000000000007629769841091887003294964970946560.000000,888239.000000,0.043930,0.392176,4.019179,10.758154,0.000000,300.295596,300.000000,None,16,109763,7439
