lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
20.570922,30.168224,29.976654,30.126382,34.000000,34.000000,34.000000,3.065622,3.401669,3.574745,3.401526,3.582343,4.513860,300.000000,New,64,2307,206
20.015650,29.640011,29.386716,29.636934,33.000000,33.000000,33.000000,0.884016,0.993790,1.125702,0.993803,1.131606,1.764781,300.000000,Old,64,1626,136
20.307934,29.691589,29.556273,29.761833,34.000000,34.000000,34.000000,0.923636,1.247800,1.577262,1.247805,1.585423,2.476808,300.000000,Old,64,2771,240
20.867510,30.265287,30.167930,30.390386,34.000000,34.000000,34.000000,1.023369,1.309335,1.560238,1.309339,1.565933,2.285455,300.000000,Old,64,1981,144
20.786773,30.357663,30.146334,30.344862,34.000000,34.000000,34.000000,0.851377,1.204987,1.393482,1.205001,1.399166,2.147904,300.000000,Old,64,2039,170
20.877963,30.168224,29.882965,30.002723,31.000000,31.000000,31.000000,0.933014,1.019380,1.047938,1.019396,1.019396,1.049266,300.000000,Old,64,51,0
20.077726,30.168224,29.751795,29.834584,31.000000,31.000000,31.000000,0.928775,1.186129,1.230259,1.186149,1.237891,1.257215,300.000000,Old,64,115,4
20.661706,30.148114,29.992805,30.120602,34.000000,34.000000,34.000000,0.970296,1.220506,1.427695,1.220519,1.432434,2.304798,300.000000,Old,64,2417,218
21.640111,30.733708,30.448256,30.656032,34.000000,34.000000,34.000000,0.937126,1.114607,1.459345,1.114625,1.465414,2.303927,300.000000,Old,64,2485,194
20.570922,30.168224,29.949560,30.063959,33.000000,33.000000,33.000000,0.869753,1.223991,1.522774,1.224004,1.530056,2.217444,300.000000,Old,64,2061,152
20.296192,29.783461,29.560203,29.592784,30.000000,30.000000,30.000000,0.916818,1.033718,1.046041,1.033732,1.033732,1.047236,300.000000,Old,64,0,0
