lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
10482.795280,10482.795280,10482.795280,10482.795280,10953.983538,12912.475382,12310.694361,0.014325,1.058093,1.075527,1.058105,282.225805,304.299309,300.000000,None,64,392868,59970
0.000221,0.000221,0.000221,0.000000,0.000240,0.000240,0.000240,0.014638,0.098422,0.000000,0.098429,0.098424,0.100380,300.000000,None,64,0,0
0.000230,0.000230,0.000230,0.000000,0.000250,0.000250,0.000250,0.012885,0.122445,0.000000,0.122454,0.122449,0.124346,300.000000,None,64,0,0
0.000224,0.000224,0.000224,0.000000,0.000240,0.000240,0.000240,0.018854,0.103755,0.000000,0.103760,0.103754,0.105630,300.000000,None,64,0,0
0.000222,0.000222,0.000222,0.000000,0.000240,0.000240,0.000240,0.015687,0.176400,0.000000,0.176408,0.176403,0.178352,300.000000,None,64,0,0
0.000223,0.000223,0.000223,0.000000,0.000240,0.000240,0.000240,0.016642,0.119430,0.000000,0.119433,0.119427,0.121303,300.000000,None,64,0,0
0.000222,0.000222,0.000222,0.000000,0.000240,0.000240,0.000240,0.015098,0.133769,0.000000,0.133775,0.133769,0.135677,300.000000,None,64,0,0
0.000221,0.000221,0.000221,0.000000,0.000240,0.000240,0.000240,0.013291,0.116594,0.000000,0.116599,0.116594,0.118456,300.000000,None,64,0,0
0.000223,0.000223,0.000223,0.000000,0.000240,0.000240,0.000240,0.014572,0.173413,0.000000,0.173420,0.173414,0.175346,300.000000,None,64,0,0
0.000236,0.000236,0.000236,0.000000,0.000260,0.000260,0.000260,0.012650,0.217020,0.000000,0.217027,0.217020,0.218930,300.000000,None,64,0,0
15316.807984,15316.807984,15316.807984,15316.807984,16420.406203,19435.132084,17892.276586,0.016999,0.563031,0.579211,0.563037,204.218157,300.802373,300.000000,None,64,378116,60839
