instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,4,New,4,0.000681,0.001148,0.000738,0.138852,0.149993,0.150003,0.574563,1.280027,3.789518,3.935315,2216,23047,3600.000000,4,13,171,GUROBI,1,0,0,0
1,4,Old,4,0.000681,0.001148,0.000757,0.137213,0.149990,0.150004,0.226936,1.253844,8.825328,8.825476,2211,34476,3600.000000,4,14,0,GUROBI,1,0,0,0
2,4,Old,4,0.000902,0.001369,0.000908,0.134585,0.150110,0.150124,0.229740,0.708755,2.164971,3.173380,2427,30806,3600.000000,4,11,0,GUROBI,1,0,0,0
3,4,Old,4,0.000681,0.001148,0.000695,0.138706,0.149994,0.150003,0.232501,1.037892,7.119167,7.119323,1897,26501,3600.000000,4,13,0,GUROBI,1,0,0,0
4,4,Old,4,0.000682,0.001148,0.000694,0.124314,0.149984,0.149984,0.231555,1.405645,8.639357,8.639484,3000,47432,3600.000000,4,14,0,GUROBI,1,0,0,0
5,4,Old,4,0.000681,0.001148,0.000693,0.137191,0.149988,0.150003,0.233965,1.072772,3.190548,3.462820,2001,21797,3600.000000,4,16,0,GUROBI,1,0,0,0
6,4,Old,4,0.040883,0.040915,0.040896,0.140679,0.171431,0.171431,0.325298,1.100054,2.101663,2.282954,956,13342,3600.000000,4,16,0,GUROBI,1,0,0,0
7,4,Old,4,0.003514,0.004003,0.003527,0.127793,0.151690,0.151690,0.233580,1.575703,7.949901,8.022315,1820,34169,3600.000000,4,16,0,GUROBI,1,0,0,0
8,4,Old,4,0.000681,0.001148,0.000693,0.138389,0.149991,0.150003,0.236735,1.198740,2.802134,3.490649,2002,26509,3600.000000,4,12,0,GUROBI,1,0,0,0
9,4,Old,4,0.000902,0.001370,0.000911,0.137825,0.150120,0.150132,0.257549,1.178907,7.113953,7.114090,1969,27976,3600.000000,4,17,0,GUROBI,1,0,0,0
10,4,Old,4,0.096052,0.096100,0.096095,0.164479,0.171847,0.171863,0.258429,1.326443,17.603761,18.752256,10445,209987,3600.000000,4,4,0,GUROBI,1,0,0,0
11,4,Old,4,0.007643,0.008104,0.007652,0.134085,0.151395,0.151408,0.251877,1.236214,4.208165,4.208292,755,14339,3600.000000,4,13,0,GUROBI,1,0,0,0
12,4,Old,4,0.000681,0.001148,0.000768,0.139513,0.149991,0.150003,0.249701,1.062227,5.619302,5.977688,1640,22836,3600.000000,4,14,0,GUROBI,1,0,0,0
13,4,Old,4,0.000683,0.001148,0.000702,0.113096,0.150027,0.150039,0.240275,1.350625,12.245210,12.245362,2492,34736,3600.000000,4,17,0,GUROBI,1,0,0,0
14,4,Old,4,0.000904,0.001371,0.000916,0.138431,0.150137,0.150145,0.224878,1.074314,2.420188,3.508753,2035,26528,3600.000000,4,13,0,GUROBI,1,0,0,0
15,4,Old,4,0.000682,0.001147,0.000696,0.120195,0.150009,0.150021,0.264930,1.270421,7.348971,7.349102,2139,36133,3600.000000,4,16,0,GUROBI,1,0,0,0
16,4,Old,4,0.084577,0.084670,0.084585,0.153314,0.171853,0.171869,0.246532,1.546063,34.742479,34.742617,17474,278359,3600.000000,4,4,0,GUROBI,1,0,0,0
17,4,Old,4,0.079690,0.079817,0.079694,0.147547,0.159241,0.159254,0.277313,1.170279,12.048059,12.048191,6873,101128,3600.000000,4,7,0,GUROBI,1,0,0,0
18,4,Old,4,0.000680,0.001148,0.000684,0.115394,0.149169,0.149169,0.234636,1.008343,6.549430,6.690860,862,12147,3600.000000,4,15,0,GUROBI,1,0,0,0
19,4,Old,4,0.001990,0.002464,0.001995,0.145234,0.151792,0.151799,0.261824,1.103847,1.717724,1.972826,786,11062,3600.000000,4,12,0,GUROBI,1,0,0,0
20,4,Old,4,0.001988,0.002464,0.002004,0.139420,0.151331,0.151337,0.257892,0.852259,1.786070,1.958271,906,16054,3600.000000,4,17,0,GUROBI,1,0,0,0
21,4,Old,4,0.000681,0.001148,0.000757,0.125849,0.149988,0.150003,0.217692,1.282287,9.241768,10.290006,2182,36021,3600.000000,4,15,0,GUROBI,1,0,0,0
22,4,Old,4,0.000902,0.001369,0.001000,0.138803,0.149992,0.150003,0.249191,0.976566,2.986922,2.987552,1596,22543,3600.000000,4,17,0,GUROBI,1,0,0,0
23,4,Old,4,0.000681,0.001148,0.000731,0.140350,0.150007,0.150007,0.206814,1.106204,5.521810,6.054545,910,15280,3600.000000,4,12,0,GUROBI,1,0,0,0
24,4,Old,4,0.000681,0.001148,0.000698,0.139797,0.149996,0.150007,0.235378,0.988125,2.388784,2.881936,1722,24626,3600.000000,4,11,0,GUROBI,1,0,0,0
25,4,Old,4,0.040694,0.040745,0.040698,0.136506,0.170975,0.170986,0.295405,1.245554,6.310465,6.310600,1628,32035,3600.000000,4,13,0,GUROBI,1,0,0,0
26,4,Old,4,0.000902,0.001370,0.000912,0.137510,0.150003,0.150003,0.247872,1.092582,2.164749,3.434685,2557,26306,3600.000000,4,11,0,GUROBI,1,0,0,0
27,4,Old,4,0.062592,0.062673,0.062596,0.148892,0.184584,0.184590,0.291547,1.110684,5.957147,5.957278,2475,37415,3600.000000,4,11,0,GUROBI,1,0,0,0
28,4,Old,4,0.000681,0.001148,0.000695,0.138706,0.149994,0.150003,0.231354,1.075050,7.130915,7.131052,1897,26501,3600.000000,4,13,0,GUROBI,1,0,0,0
29,4,Old,4,0.001774,0.002247,0.001788,0.141844,0.151412,0.151419,0.256215,0.888906,2.627757,2.782519,1132,16203,3600.000000,4,11,0,GUROBI,1,0,0,0
30,4,Old,4,0.075559,0.075594,0.075563,0.155520,0.190208,0.190224,0.344758,1.346215,8.029133,12.333564,6517,107133,3600.000000,4,17,0,GUROBI,1,0,0,0
31,4,Old,4,0.000681,0.001148,0.000777,0.133697,0.149990,0.150003,0.235232,0.724360,2.288329,2.377332,1749,19977,3600.000000,4,15,0,GUROBI,1,0,0,0
32,4,Old,4,0.000902,0.001370,0.000923,0.139963,0.150372,0.150387,0.227216,0.781366,3.544643,4.200145,3735,35775,3600.000000,4,15,0,GUROBI,1,0,0,0
33,4,Old,4,0.000680,0.001146,0.000689,0.140380,0.149964,0.149964,0.235701,0.984684,3.726739,3.941271,1115,16789,3600.000000,4,13,0,GUROBI,1,0,0,0
34,4,Old,4,0.000683,0.001148,0.000692,0.114133,0.149562,0.149576,0.229911,0.872031,5.973887,5.974024,2841,37457,3600.000000,4,14,0,GUROBI,1,0,0,0
35,4,Old,4,0.000681,0.001148,0.000698,0.137546,0.149999,0.150003,0.224940,0.765172,7.332195,7.332343,1655,25714,3600.000000,4,13,0,GUROBI,1,0,0,0
36,4,Old,4,0.000901,0.001370,0.000915,0.139724,0.150440,0.150455,0.251898,0.695922,2.320407,2.995631,2203,25157,3600.000000,4,11,0,GUROBI,1,0,0,0
37,4,Old,4,0.000683,0.001148,0.000695,0.124503,0.149988,0.150003,0.248711,1.229661,7.249754,7.249888,2952,48604,3600.000000,4,14,0,GUROBI,1,0,0,0
