instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,2,New,4,0.000681,0.001148,0.000738,0.138292,0.149993,0.150003,0.576714,1.140085,1.936472,2.495611,1235,16912,3600.000000,4,13,171,GUROBI,1,0,0,0
1,2,Old,4,-0.000816,-0.000355,-0.000809,0.121416,0.149990,0.150003,0.359999,0.933996,4.585966,4.878492,1956,30233,3600.000000,4,15,0,GUROBI,1,0,0,0
2,2,Old,4,0.000689,0.001148,0.000697,0.140728,0.150023,0.150038,0.305082,1.002220,1.671692,2.388713,1512,17718,3600.000000,4,12,0,GUROBI,1,0,0,0
3,2,Old,4,-0.000823,-0.000356,-0.000815,0.135369,0.148466,0.148479,0.253480,0.932983,1.747814,3.607441,2620,29160,3600.000000,4,14,0,GUROBI,1,0,0,0
4,2,Old,4,-0.000823,-0.000355,-0.000815,0.137178,0.148490,0.148499,0.271634,0.951182,1.737284,3.620488,2540,27772,3600.000000,4,12,0,GUROBI,1,0,0,0
5,2,Old,4,0.000697,0.001152,0.000708,0.113935,0.152195,0.152195,0.480349,1.078684,4.902016,4.902147,1521,26536,3600.000000,4,17,0,GUROBI,1,0,0,0
6,2,Old,4,0.000689,0.001152,0.000705,0.138594,0.150093,0.150100,0.242525,0.879971,5.174751,5.174887,1319,21420,3600.000000,4,15,0,GUROBI,1,0,0,0
7,2,Old,4,0.000685,0.001152,0.000774,0.139675,0.151942,0.151956,0.226157,0.882894,6.558716,6.558848,2261,31455,3600.000000,4,11,0,GUROBI,1,0,0,0
8,2,Old,4,-0.002327,-0.001858,-0.002317,0.131257,0.146983,0.146983,0.246227,0.774368,5.486680,5.486810,1900,27817,3600.000000,4,15,0,GUROBI,1,0,0,0
9,2,Old,4,0.000683,0.001148,0.000695,0.118077,0.151943,0.151956,0.234772,1.025497,11.286610,11.286740,3749,48089,3600.000000,4,12,0,GUROBI,1,0,0,0
10,2,Old,4,0.000685,0.001148,0.000693,0.134149,0.150008,0.150018,0.263291,0.824558,9.103776,9.858203,1983,30481,3600.000000,4,9,0,GUROBI,1,0,0,0
11,2,Old,4,-0.002327,-0.001858,-0.002277,0.135535,0.146959,0.146974,0.224022,0.954592,3.582523,3.638189,2457,29721,3600.000000,4,11,0,GUROBI,1,0,0,0
12,2,Old,4,0.000685,0.001152,0.000777,0.122933,0.151943,0.151956,0.218531,1.096439,5.819604,5.819733,2099,31581,3600.000000,4,17,0,GUROBI,1,0,0,0
13,2,Old,4,-0.000381,0.000083,-0.000287,0.110538,0.148943,0.148955,0.270261,1.105956,7.744936,7.745068,3919,53623,3600.000000,4,22,0,GUROBI,1,0,0,0
14,2,Old,4,-0.000826,-0.000356,-0.000819,0.133464,0.146513,0.146526,0.342695,0.932458,8.559254,8.559386,1787,28746,3600.000000,4,11,0,GUROBI,1,0,0,0
15,2,Old,4,0.000685,0.001152,0.000692,0.139530,0.151945,0.151956,0.236564,0.963812,5.783888,6.567548,2352,33644,3600.000000,4,15,0,GUROBI,1,0,0,0
16,2,Old,4,0.000678,0.001148,0.000689,0.135993,0.148038,0.148049,0.229812,0.897818,1.238448,3.004448,2010,23541,3600.000000,4,12,0,GUROBI,1,0,0,0
17,2,Old,4,0.000689,0.001156,0.000707,0.139561,0.150017,0.150028,0.245805,0.878094,3.705773,3.825959,2351,32454,3600.000000,4,12,0,GUROBI,1,0,0,0
18,2,Old,4,-0.001002,-0.000948,-0.000997,0.135636,0.146500,0.146510,0.295633,1.126433,2.392338,3.289768,1804,28709,3600.000000,4,17,0,GUROBI,1,0,0,0
19,2,Old,4,-0.000822,-0.000768,-0.000778,0.139333,0.150425,0.150437,0.251463,0.805569,3.329556,3.329683,2332,26636,3600.000000,4,12,0,GUROBI,1,0,0,0
20,2,Old,4,-0.000827,-0.000355,-0.000778,0.138569,0.148450,0.148457,0.224930,0.894428,2.140964,2.942116,2217,25514,3600.000000,4,12,0,GUROBI,1,0,0,0
21,2,Old,4,0.000685,0.001148,0.000694,0.138707,0.150057,0.150065,0.212188,0.984751,3.814830,3.814960,2376,31171,3600.000000,4,11,0,GUROBI,1,0,0,0
22,2,Old,4,-0.000823,-0.000355,-0.000819,0.138687,0.148044,0.148049,0.244534,0.890130,1.755010,2.213670,1115,13387,3600.000000,4,12,0,GUROBI,1,0,0,0
23,2,Old,4,-0.000822,-0.000768,-0.000778,0.137828,0.148493,0.148499,0.292408,1.011503,4.947971,4.948099,1233,18685,3600.000000,4,14,0,GUROBI,1,0,0,0
24,2,Old,4,-0.000822,-0.000352,-0.000808,0.119338,0.148490,0.148497,0.216174,1.097230,6.576590,6.576726,2405,36213,3600.000000,4,9,0,GUROBI,1,0,0,0
25,2,Old,4,-0.000819,-0.000356,-0.000802,0.140933,0.150442,0.150447,0.264447,0.956861,1.481658,2.703662,1575,20062,3600.000000,4,14,0,GUROBI,1,0,0,0
26,2,Old,4,0.000689,0.001152,0.000786,0.139829,0.150003,0.150003,0.225728,0.877235,1.062353,2.058033,1121,15121,3600.000000,4,14,0,GUROBI,1,0,0,0
27,2,Old,4,-0.000811,-0.000356,-0.000807,0.124120,0.148695,0.148706,0.360788,1.354329,11.637528,11.637661,2305,31904,3600.000000,4,12,0,GUROBI,1,0,0,0
28,2,Old,4,0.000688,0.001148,0.000701,0.115481,0.150128,0.150143,0.225813,0.880430,9.274865,9.274998,2098,39810,3600.000000,4,15,0,GUROBI,1,0,0,0
29,2,Old,4,-0.000380,0.000085,-0.000330,0.125194,0.148057,0.148057,0.243537,1.319140,3.731916,3.917099,1085,17339,3600.000000,4,16,0,GUROBI,1,0,0,0
30,2,Old,4,-0.000818,-0.000356,-0.000724,0.117177,0.150438,0.150453,1.097183,1.925757,10.488146,10.488285,2447,36824,3600.000000,4,12,0,GUROBI,1,0,0,0
31,2,Old,4,0.000681,0.001152,0.000696,0.140217,0.150010,0.150022,0.244148,0.928498,4.853683,5.257511,1058,13990,3600.000000,4,13,0,GUROBI,1,0,0,0
32,2,Old,4,-0.000819,-0.000764,-0.000816,0.135686,0.148049,0.148049,0.292178,0.782270,4.244079,4.548769,1533,20372,3600.000000,4,16,0,GUROBI,1,0,0,0
33,2,Old,4,-0.000819,-0.000351,-0.000807,0.140116,0.148556,0.148563,0.225164,0.956818,2.080294,2.413117,1432,17429,3600.000000,4,15,0,GUROBI,1,0,0,0
34,2,Old,4,0.000685,0.001148,0.000690,0.141662,0.151930,0.151934,0.255254,0.921229,2.170179,2.846575,1790,22365,3600.000000,4,11,0,GUROBI,1,0,0,0
35,2,Old,4,0.000686,0.001148,0.000764,0.108631,0.150383,0.150398,0.223567,0.812033,5.499932,5.500071,2292,34081,3600.000000,4,16,0,GUROBI,1,0,0,0
36,2,Old,4,0.000691,0.001148,0.000704,0.123165,0.150149,0.150159,0.281833,1.237764,8.463462,8.463594,1986,30293,3600.000000,4,13,0,GUROBI,1,0,0,0
37,2,Old,4,0.000681,0.001152,0.000691,0.137563,0.149999,0.150010,0.427209,0.990028,5.592795,5.907437,1519,22026,3600.000000,4,11,0,GUROBI,1,0,0,0
38,2,Old,4,0.000684,0.001144,0.000775,0.114876,0.149988,0.150003,0.231645,0.749324,6.588371,6.588507,2106,35734,3600.000000,4,14,0,GUROBI,1,0,0,0
39,2,Old,4,-0.001886,-0.001419,-0.001786,0.123278,0.147423,0.147436,0.287720,1.240735,3.678210,4.815033,2804,42520,3600.000000,4,24,0,GUROBI,1,0,0,0
40,2,Old,4,0.000696,0.001156,0.000709,0.119692,0.150148,0.150151,0.525736,1.672993,6.465545,6.465682,2115,32648,3600.000000,4,13,0,GUROBI,1,0,0,0
41,2,Old,4,-0.000823,-0.000356,-0.000770,0.138857,0.148039,0.148049,0.241726,1.066240,1.146903,2.872829,1786,20745,3600.000000,4,11,0,GUROBI,1,0,0,0
42,2,Old,4,0.000685,0.001152,0.000695,0.119090,0.151941,0.151956,0.205822,1.336655,10.760611,10.760748,2495,37292,3600.000000,4,12,0,GUROBI,1,0,0,0
43,2,Old,4,-0.000825,-0.000771,-0.000818,0.137347,0.148036,0.148049,1.148475,1.765230,8.756916,8.757055,1821,27703,3600.000000,4,17,0,GUROBI,1,0,0,0
44,2,Old,4,-0.000819,-0.000768,-0.000814,0.136169,0.148585,0.148596,0.295942,0.859503,6.802326,6.802454,1780,26091,3600.000000,4,11,0,GUROBI,1,0,0,0
45,2,Old,4,-0.000819,-0.000351,-0.000808,0.137032,0.148481,0.148496,0.265790,0.972725,3.374740,3.785199,1169,16502,3600.000000,4,15,0,GUROBI,1,0,0,0
46,2,Old,4,0.000688,0.001152,0.000696,0.125421,0.149997,0.150006,0.242557,1.273125,4.818186,5.061346,1860,26985,3600.000000,4,19,0,GUROBI,1,0,0,0
47,2,Old,4,0.000688,0.001148,0.000697,0.123478,0.151942,0.151956,0.291678,1.180691,8.054373,8.054510,2665,42066,3600.000000,4,14,0,GUROBI,1,0,0,0
48,2,Old,4,-0.000821,-0.000355,-0.000809,0.112017,0.148446,0.148458,0.206415,1.000963,5.868703,5.868833,2698,34771,3600.000000,4,11,0,GUROBI,1,0,0,0
49,2,Old,4,-0.002327,-0.001858,-0.002317,0.131796,0.146968,0.146982,0.283267,0.830943,6.046029,6.046158,2027,27804,3600.000000,4,13,0,GUROBI,1,0,0,0
50,2,Old,4,0.000681,0.001144,0.000692,0.137223,0.149992,0.150003,0.233306,0.787147,5.542591,6.773745,2239,28323,3600.000000,4,14,0,GUROBI,1,0,0,0
51,2,Old,4,0.000692,0.001152,0.000862,0.129183,0.153894,0.153909,0.249090,1.109335,7.818782,9.358764,2060,35469,3600.000000,4,14,0,GUROBI,1,0,0,0
52,2,Old,4,-0.000818,-0.000355,-0.000770,0.139762,0.150003,0.150003,0.260014,0.906292,3.807135,4.083531,1374,19476,3600.000000,4,7,0,GUROBI,1,0,0,0
53,2,Old,4,-0.002326,-0.001859,-0.002324,0.137803,0.146990,0.146990,0.220829,0.951206,1.879662,2.308596,1465,15285,3600.000000,4,12,0,GUROBI,1,0,0,0
