instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,3,None,64,0.000681,0.000681,0.000681,0.141697,0.149990,0.150003,0.000002,0.664793,1.262531,2.754930,1910,22203,3600.000000,0,0,0,GUROBI,1,0,0,0
1,3,None,64,-0.000816,-0.000816,-0.000816,0.132823,0.149990,0.150003,0.000004,0.766287,8.886120,8.886259,1884,34130,3600.000000,0,0,0,GUROBI,1,0,0,0
2,3,None,64,0.000689,0.000689,0.000689,0.137185,0.150038,0.150038,0.000002,0.539217,6.559630,6.559768,2105,28471,3600.000000,0,0,0,GUROBI,1,0,0,0
3,3,None,64,-0.000823,-0.000823,-0.000823,0.139203,0.148476,0.148479,0.000002,0.649152,0.839915,2.082835,1320,16902,3600.000000,0,0,0,GUROBI,1,0,0,0
4,3,None,64,-0.000823,-0.000823,-0.000823,0.132164,0.148488,0.148499,0.000003,0.586475,3.196215,3.741382,2948,35173,3600.000000,0,0,0,GUROBI,1,0,0,0
5,3,None,64,0.000697,0.000697,0.000697,0.115631,0.152183,0.152195,0.000004,0.550018,5.744837,5.744972,1892,35238,3600.000000,0,0,0,GUROBI,1,0,0,0
6,3,None,64,0.000689,0.000689,0.000689,0.139067,0.150098,0.150100,0.000002,0.625139,6.284093,6.284233,1599,24944,3600.000000,0,0,0,GUROBI,1,0,0,0
7,3,None,64,0.000685,0.000685,0.000685,0.140681,0.151946,0.151956,0.000003,0.611947,8.267284,8.267413,1957,30639,3600.000000,0,0,0,GUROBI,1,0,0,0
8,3,None,64,-0.002327,-0.002327,-0.002327,0.135052,0.146977,0.146983,0.000003,0.731643,1.799826,2.638169,1548,21598,3600.000000,0,0,0,GUROBI,1,0,0,0
9,3,None,64,0.000683,0.000683,0.000683,0.111282,0.151941,0.151956,0.000003,0.588147,0.759270,5.295877,2145,35497,3600.000000,0,0,0,GUROBI,1,0,0,0
10,3,None,64,0.000685,0.000685,0.000685,0.136142,0.150012,0.150018,0.000003,0.548076,4.525410,5.306512,1611,27055,3600.000000,0,0,0,GUROBI,1,0,0,0
11,3,None,64,-0.002327,-0.002327,-0.002327,0.134753,0.146960,0.146974,0.000003,0.764440,6.692673,6.692809,1948,32153,3600.000000,0,0,0,GUROBI,1,0,0,0
12,3,None,64,0.000685,0.000685,0.000685,0.121467,0.151943,0.151956,0.000003,1.011725,8.032659,8.032802,2107,38686,3600.000000,0,0,0,GUROBI,1,0,0,0
13,3,None,64,-0.000381,-0.000381,-0.000381,0.114245,0.148944,0.148955,0.000002,0.596749,10.376987,10.868573,2186,36044,3600.000000,0,0,0,GUROBI,1,0,0,0
14,3,None,64,-0.000826,-0.000826,-0.000826,0.131949,0.146523,0.146526,0.000002,0.499553,6.284118,6.656155,2173,31326,3600.000000,0,0,0,GUROBI,1,0,0,0
15,3,None,64,0.000685,0.000685,0.000685,0.137649,0.151956,0.151956,0.000003,0.729822,4.122582,5.435307,1747,26063,3600.000000,0,0,0,GUROBI,1,0,0,0
16,3,None,64,0.000678,0.000678,0.000678,0.133735,0.148040,0.148049,0.000003,0.484149,6.507649,7.125075,2032,30249,3600.000000,0,0,0,GUROBI,1,0,0,0
17,3,None,64,0.000689,0.000689,0.000689,0.141000,0.150019,0.150028,0.000003,0.698429,5.401183,5.561285,1233,17110,3600.000000,0,0,0,GUROBI,1,0,0,0
18,3,None,64,-0.001002,-0.001002,-0.001002,0.136115,0.146496,0.146510,0.000003,0.836435,5.587930,5.599981,2157,30626,3600.000000,0,0,0,GUROBI,1,0,0,0
19,3,None,64,-0.000822,-0.000822,-0.000822,0.139605,0.150423,0.150437,0.000003,0.694759,1.195584,2.853760,1873,24221,3600.000000,0,0,0,GUROBI,1,0,0,0
20,3,None,64,-0.000827,-0.000827,-0.000827,0.137128,0.148449,0.148457,0.000002,0.544716,4.532505,4.549676,1545,22739,3600.000000,0,0,0,GUROBI,1,0,0,0
21,3,None,64,0.000685,0.000685,0.000685,0.139032,0.150065,0.150065,0.000002,0.602838,2.465115,3.161510,2398,29092,3600.000000,0,0,0,GUROBI,1,0,0,0
22,3,None,64,-0.000823,-0.000823,-0.000823,0.136090,0.148038,0.148049,0.000002,0.619489,7.151423,7.151570,2464,36273,3600.000000,0,0,0,GUROBI,1,0,0,0
23,3,None,64,-0.000822,-0.000822,-0.000822,0.130779,0.148493,0.148499,0.000002,0.479791,5.110363,5.110509,2000,25300,3600.000000,0,0,0,GUROBI,1,0,0,0
24,3,None,64,-0.000822,-0.000822,-0.000822,0.126894,0.148483,0.148497,0.000002,1.091005,5.849876,5.850012,2623,39908,3600.000000,0,0,0,GUROBI,1,0,0,0
25,3,None,64,-0.000819,-0.000819,-0.000819,0.136307,0.150439,0.150447,0.000001,0.539762,5.098440,5.098575,1830,25610,3600.000000,0,0,0,GUROBI,1,0,0,0
26,3,None,64,0.000689,0.000689,0.000689,0.141599,0.150003,0.150003,0.000002,0.783330,1.563653,1.805707,762,13286,3600.000000,0,0,0,GUROBI,1,0,0,0
27,3,None,64,-0.000811,-0.000811,-0.000811,0.109506,0.148699,0.148706,0.000002,0.715686,9.582962,9.583100,2189,32975,3600.000000,0,0,0,GUROBI,1,0,0,0
28,3,None,64,0.000688,0.000688,0.000688,0.128347,0.150133,0.150143,0.000003,1.060215,7.234890,7.235024,2442,33394,3600.000000,0,0,0,GUROBI,1,0,0,0
29,3,None,64,-0.000380,-0.000380,-0.000380,0.117181,0.148049,0.148057,0.000003,0.842884,6.769426,6.769565,2885,41861,3600.000000,0,0,0,GUROBI,1,0,0,0
30,3,None,64,-0.000818,-0.000818,-0.000818,0.116580,0.150449,0.150453,0.000003,0.672964,5.160879,6.241744,2032,31491,3600.000000,0,0,0,GUROBI,1,0,0,0
31,3,None,64,0.000681,0.000681,0.000681,0.138507,0.150018,0.150022,0.000003,0.565809,4.091236,4.091367,1330,21061,3600.000000,0,0,0,GUROBI,1,0,0,0
32,3,None,64,-0.000819,-0.000819,-0.000819,0.135458,0.148038,0.148049,0.000002,0.536846,4.215185,4.553637,1830,24991,3600.000000,0,0,0,GUROBI,1,0,0,0
33,3,None,64,-0.000819,-0.000819,-0.000819,0.137868,0.148552,0.148563,0.000002,0.628489,5.845699,5.845830,1995,28462,3600.000000,0,0,0,GUROBI,1,0,0,0
34,3,None,64,0.000685,0.000685,0.000685,0.141800,0.151931,0.151934,0.000001,0.667672,1.721807,2.246076,1337,18591,3600.000000,0,0,0,GUROBI,1,0,0,0
35,3,None,64,0.000686,0.000686,0.000686,0.124403,0.150383,0.150398,0.000002,1.124547,7.739753,7.739884,2752,44872,3600.000000,0,0,0,GUROBI,1,0,0,0
36,3,None,64,0.000691,0.000691,0.000691,0.114076,0.150146,0.150159,0.000004,0.860243,6.039993,6.040120,3011,44024,3600.000000,0,0,0,GUROBI,1,0,0,0
37,3,None,64,0.000681,0.000681,0.000681,0.138255,0.150010,0.150010,0.000002,0.568881,1.849014,6.693210,1523,24556,3600.000000,0,0,0,GUROBI,1,0,0,0
38,3,None,64,0.000684,0.000684,0.000684,0.120230,0.149989,0.150003,0.000002,1.114430,10.208152,10.208286,2325,34266,3600.000000,0,0,0,GUROBI,1,0,0,0
39,3,None,64,-0.001886,-0.001886,-0.001886,0.112264,0.147426,0.147436,0.000002,0.757392,4.890485,5.536607,2416,33965,3600.000000,0,0,0,GUROBI,1,0,0,0
40,3,None,64,0.000696,0.000696,0.000696,0.109651,0.150144,0.150151,0.000002,0.729883,5.354330,5.354468,1992,30760,3600.000000,0,0,0,GUROBI,1,0,0,0
41,3,None,64,-0.000823,-0.000823,-0.000823,0.138813,0.148036,0.148049,0.000002,0.705730,4.297419,4.449764,1135,15060,3600.000000,0,0,0,GUROBI,1,0,0,0
42,3,None,64,0.000685,0.000685,0.000685,0.127987,0.151943,0.151956,0.000002,0.928499,5.624412,5.624550,1840,29102,3600.000000,0,0,0,GUROBI,1,0,0,0
43,3,None,64,-0.000825,-0.000825,-0.000825,0.138874,0.148036,0.148049,0.000002,0.697499,2.072751,2.359537,1659,19723,3600.000000,0,0,0,GUROBI,1,0,0,0
44,3,None,64,-0.000819,-0.000819,-0.000819,0.137663,0.148596,0.148596,0.000002,0.607336,3.762197,4.037035,1758,19285,3600.000000,0,0,0,GUROBI,1,0,0,0
45,3,None,64,-0.000819,-0.000819,-0.000819,0.132315,0.148494,0.148496,0.000003,0.426402,4.974460,4.974602,1398,20578,3600.000000,0,0,0,GUROBI,1,0,0,0
46,3,None,64,0.000688,0.000688,0.000688,0.108673,0.149995,0.150006,0.000002,0.492689,3.224353,3.663852,3036,38171,3600.000000,0,0,0,GUROBI,1,0,0,0
47,3,None,64,0.000688,0.000688,0.000688,0.116227,0.151956,0.151956,0.000002,0.836693,6.273079,6.273215,1840,31664,3600.000000,0,0,0,GUROBI,1,0,0,0
48,3,None,64,-0.000821,-0.000821,-0.000821,0.118030,0.148446,0.148458,0.000002,0.859251,10.053748,10.109244,1446,22955,3600.000000,0,0,0,GUROBI,1,0,0,0
49,3,None,64,-0.002327,-0.002327,-0.002327,0.135189,0.146982,0.146982,0.000002,0.676322,3.908936,4.242268,1366,21271,3600.000000,0,0,0,GUROBI,1,0,0,0
50,3,None,64,0.000681,0.000681,0.000681,0.140596,0.149999,0.150003,0.000002,0.726935,3.888170,4.293762,1141,17554,3600.000000,0,0,0,GUROBI,1,0,0,0
51,3,None,64,0.000692,0.000692,0.000692,0.130771,0.153900,0.153909,0.000003,1.042149,7.039565,7.791152,1879,29444,3600.000000,0,0,0,GUROBI,1,0,0,0
52,3,None,64,-0.000818,-0.000818,-0.000818,0.136627,0.149988,0.150003,0.000002,0.545291,4.742831,4.742965,1552,23565,3600.000000,0,0,0,GUROBI,1,0,0,0
53,3,None,64,-0.002326,-0.002326,-0.002326,0.135162,0.146981,0.146990,0.000003,0.613081,4.193082,4.741720,1510,22121,3600.000000,0,0,0,GUROBI,1,0,0,0
54,3,None,64,0.000684,0.000684,0.000684,0.117131,0.151951,0.151956,0.000002,0.829404,5.058384,5.682720,2928,38909,3600.000000,0,0,0,GUROBI,1,0,0,0
55,3,None,64,-0.000815,-0.000815,-0.000815,0.110762,0.148554,0.148566,0.000002,0.651624,4.553533,4.628602,1344,17934,3600.000000,0,0,0,GUROBI,1,0,0,0
56,3,None,64,-0.000823,-0.000823,-0.000823,0.136388,0.148037,0.148049,0.000002,0.553113,4.759815,5.603026,1461,24675,3600.000000,0,0,0,GUROBI,1,0,0,0
57,3,None,64,0.000678,0.000678,0.000678,0.138910,0.148041,0.148049,0.000002,0.724813,2.361173,2.382087,1407,18448,3600.000000,0,0,0,GUROBI,1,0,0,0
58,3,None,64,-0.000378,-0.000378,-0.000378,0.137830,0.148980,0.148994,0.000002,0.734294,2.540923,3.365492,2555,30738,3600.000000,0,0,0,GUROBI,1,0,0,0
59,3,None,64,-0.000820,-0.000820,-0.000820,0.112795,0.150439,0.150453,0.000002,0.737657,2.691795,4.017421,3281,39017,3600.000000,0,0,0,GUROBI,1,0,0,0
60,3,None,64,0.000689,0.000689,0.000689,0.114594,0.150104,0.150116,0.000001,0.747232,5.517052,5.517191,1841,28192,3600.000000,0,0,0,GUROBI,1,0,0,0
61,3,None,64,-0.002328,-0.002328,-0.002328,0.138669,0.146491,0.146505,0.000002,0.761637,2.002493,3.084729,2354,28832,3600.000000,0,0,0,GUROBI,1,0,0,0
62,3,None,64,-0.000819,-0.000819,-0.000819,0.109865,0.148035,0.148049,0.000003,0.595466,10.319282,10.319415,2117,33678,3600.000000,0,0,0,GUROBI,1,0,0,0
63,3,None,64,-0.000824,-0.000824,-0.000824,0.110533,0.148477,0.148481,0.000002,0.652596,8.158008,8.158139,1454,25944,3600.000000,0,0,0,GUROBI,1,0,0,0
64,3,None,64,-0.000823,-0.000823,-0.000823,0.134781,0.148091,0.148096,0.000002,0.556216,2.246418,5.881260,2707,33896,3600.000000,0,0,0,GUROBI,1,0,0,0
