instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,4,None,16,0.000681,0.000681,0.000681,0.138256,0.150000,0.150003,0.000003,0.767277,4.149009,4.382730,1033,15586,3600.000000,0,0,0,GUROBI,1,0,0,0
1,4,None,16,-0.006681,-0.006681,-0.006681,0.125803,0.142621,0.142632,0.000003,0.477942,5.530608,5.679489,1917,25161,3600.000000,0,0,0,GUROBI,1,0,0,0
2,4,None,16,-0.005323,-0.005323,-0.005323,0.118337,0.144340,0.144349,0.000002,0.715471,4.999341,4.999476,2629,29436,3600.000000,0,0,0,GUROBI,1,0,0,0
3,4,None,16,0.000689,0.000689,0.000689,0.128414,0.150054,0.150065,0.000001,0.951777,1.776830,2.616699,1512,19012,3600.000000,0,0,0,GUROBI,1,0,0,0
4,4,None,16,0.000681,0.000681,0.000681,0.138827,0.149973,0.149979,0.000003,0.567304,6.036171,6.036304,1833,25480,3600.000000,0,0,0,GUROBI,1,0,0,0
5,4,None,16,-0.006221,-0.006221,-0.006221,0.106808,0.149989,0.150003,0.000003,0.664400,6.930589,6.930738,2753,43177,3600.000000,0,0,0,GUROBI,1,0,0,0
6,4,None,16,-0.006666,-0.006666,-0.006666,0.133234,0.142365,0.142377,0.000002,0.750040,2.020701,2.478056,1575,19809,3600.000000,0,0,0,GUROBI,1,0,0,0
7,4,None,16,0.000709,0.000709,0.000709,0.119655,0.150320,0.150330,0.000002,0.824334,3.805678,4.290079,2590,37191,3600.000000,0,0,0,GUROBI,1,0,0,0
8,4,None,16,0.000705,0.000705,0.000705,0.129442,0.157804,0.157815,0.000003,0.683449,3.204128,3.931119,3269,37416,3600.000000,0,0,0,GUROBI,1,0,0,0
9,4,None,16,-0.012714,-0.012714,-0.012714,0.130324,0.136149,0.136158,0.000003,1.007312,4.832048,4.832186,1529,22445,3600.000000,0,0,0,GUROBI,1,0,0,0
10,4,None,16,-0.014044,-0.014044,-0.014044,0.125773,0.135256,0.135269,0.000002,0.715037,2.371917,2.448919,1938,23880,3600.000000,0,0,0,GUROBI,1,0,0,0
11,4,None,16,-0.006668,-0.006668,-0.006668,0.106461,0.142179,0.142190,0.000002,0.823097,8.231839,8.525040,1332,25027,3600.000000,0,0,0,GUROBI,1,0,0,0
12,4,None,16,-0.006663,-0.006663,-0.006663,0.124649,0.149990,0.150003,0.000002,1.016135,6.500884,6.501023,2236,38044,3600.000000,0,0,0,GUROBI,1,0,0,0
13,4,None,16,-0.006664,-0.006664,-0.006664,0.118295,0.142460,0.142471,0.000003,0.735925,6.464457,6.464585,2453,35123,3600.000000,0,0,0,GUROBI,1,0,0,0
14,4,None,16,-0.006671,-0.006671,-0.006671,0.117298,0.142176,0.142190,0.000002,1.083628,5.785850,5.785990,1648,26917,3600.000000,0,0,0,GUROBI,1,0,0,0
15,4,None,16,-0.005351,-0.005351,-0.005351,0.130147,0.143957,0.143970,0.000002,0.520289,6.129724,6.561037,1329,20092,3600.000000,0,0,0,GUROBI,1,0,0,0
