instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,0.000681,0.001148,0.000738,0.144169,0.149990,0.150003,0.592635,1.596537,2.374794,3.053529,1363,18263,3600.000000,4,13,171,GUROBI,1,0,0,0
1,Old,4,-0.006682,-0.006629,-0.006676,0.125883,0.142190,0.142190,0.290835,0.772026,2.112660,2.933117,2128,25089,3600.000000,4,17,0,GUROBI,1,0,0,0
2,Old,4,-0.012715,-0.012248,-0.012706,0.111095,0.136586,0.136587,0.241225,1.226930,7.680325,7.680454,2634,40274,3600.000000,4,11,0,GUROBI,1,0,0,0
3,Old,4,0.000693,0.001148,0.000748,0.134082,0.150386,0.150397,0.211518,0.977043,6.791872,6.792001,3197,43334,3600.000000,4,12,0,GUROBI,1,0,0,0
4,Old,4,-0.014046,-0.013577,-0.014030,0.125118,0.135254,0.135259,0.253041,0.964490,3.496351,3.843133,2538,31807,3600.000000,4,11,0,GUROBI,1,0,0,0
5,Old,4,-0.013606,-0.013137,-0.013563,0.121420,0.134810,0.134810,0.309174,0.942928,5.937621,6.278024,1606,23644,3600.000000,4,9,0,GUROBI,1,0,0,0
6,Old,4,-0.006671,-0.006215,-0.006663,0.122375,0.142257,0.142268,0.242225,1.210594,6.105121,6.108393,1540,24604,3600.000000,4,8,0,GUROBI,1,0,0,0
7,Old,4,-0.006682,-0.006200,-0.006633,0.130379,0.142616,0.142616,0.234633,0.695342,1.401427,3.979011,1509,19674,3600.000000,4,10,0,GUROBI,1,0,0,0
8,Old,4,0.000689,0.001164,0.000700,0.128827,0.150003,0.150003,0.265146,1.040824,4.575578,4.704880,1946,30340,3600.000000,4,18,0,GUROBI,1,0,0,0
9,Old,4,0.000713,0.001179,0.000741,0.148352,0.157804,0.157815,0.268156,0.909675,4.602634,4.848116,2380,25730,3600.000000,4,16,0,GUROBI,1,0,0,0
10,Old,4,0.000721,0.001155,0.000729,0.139703,0.157815,0.157815,0.210210,0.855391,1.927923,2.146463,1009,16356,3600.000000,4,15,0,GUROBI,1,0,0,0
11,Old,4,-0.010936,-0.010882,-0.010914,0.129031,0.138348,0.138359,0.296079,1.036409,1.883237,2.929355,1640,22496,3600.000000,4,11,0,GUROBI,1,0,0,0
12,Old,4,-0.004462,-0.004408,-0.004418,0.118454,0.144851,0.144860,0.275688,1.094805,5.296400,5.848546,1594,27144,3600.000000,4,13,0,GUROBI,1,0,0,0
13,Old,4,-0.006673,-0.006199,-0.006663,0.113814,0.142618,0.142630,0.211327,1.082950,6.952994,6.953127,2883,42005,3600.000000,4,12,0,GUROBI,1,0,0,0
14,Old,4,0.000697,0.001164,0.000703,0.148244,0.157804,0.157815,0.231897,0.926905,5.534274,5.833338,1539,23923,3600.000000,4,13,0,GUROBI,1,0,0,0
15,Old,4,0.000680,0.001155,0.000697,0.119878,0.149694,0.149706,0.229444,0.731506,6.947163,6.947298,3280,51558,3600.000000,4,15,0,GUROBI,1,0,0,0
16,Old,4,0.000697,0.001164,0.000707,0.143188,0.157812,0.157815,0.241979,0.814369,4.775880,5.061407,2127,30037,3600.000000,4,12,0,GUROBI,1,0,0,0
17,Old,4,-0.012264,-0.012211,-0.012261,0.128181,0.136599,0.136608,0.294607,1.116456,6.687344,6.687473,1429,20617,3600.000000,4,17,0,GUROBI,1,0,0,0
18,Old,4,-0.012715,-0.012247,-0.012562,0.098048,0.136593,0.136605,0.286073,0.978736,16.789926,16.790057,2749,39547,3600.000000,4,15,0,GUROBI,1,0,0,0
19,Old,4,0.000697,0.001164,0.000706,0.138186,0.150128,0.150143,0.235256,0.811815,5.677969,5.678100,2024,27057,3600.000000,4,13,0,GUROBI,1,0,0,0
20,Old,4,-0.007815,-0.007731,-0.007812,0.108917,0.141500,0.141508,0.255920,0.903842,7.095991,7.096125,2523,42421,3600.000000,4,6,0,GUROBI,1,0,0,0
21,Old,4,0.000693,0.001148,0.000706,0.123024,0.150153,0.150159,0.266555,1.032619,6.424034,6.424177,2895,41764,3600.000000,4,12,0,GUROBI,1,0,0,0
22,Old,4,-0.002682,-0.002214,-0.002583,0.120646,0.146635,0.146640,0.256371,1.112330,9.437992,10.115577,2001,32030,3600.000000,4,14,0,GUROBI,1,0,0,0
23,Old,4,-0.006681,-0.006231,-0.006671,0.114707,0.142630,0.142640,0.258867,1.172992,6.135115,6.135243,1962,34022,3600.000000,4,13,0,GUROBI,1,0,0,0
24,Old,4,0.000697,0.001148,0.000751,0.141515,0.157808,0.157815,0.197222,0.625479,3.672389,3.932375,3239,36085,3600.000000,4,14,0,GUROBI,1,0,0,0
25,Old,4,0.000696,0.001148,0.000746,0.129796,0.150134,0.150143,0.211775,1.269946,3.428048,4.509814,2980,41251,3600.000000,4,14,0,GUROBI,1,0,0,0
26,Old,4,-0.006682,-0.006214,-0.006626,0.130194,0.142621,0.142628,0.250421,0.898187,2.712432,3.985343,2810,37357,3600.000000,4,14,0,GUROBI,1,0,0,0
27,Old,4,-0.006682,-0.006214,-0.006633,0.133508,0.142622,0.142636,0.259514,0.992339,1.066604,2.420813,1395,17206,3600.000000,4,10,0,GUROBI,1,0,0,0
28,Old,4,-0.006671,-0.006613,-0.006669,0.112959,0.142327,0.142338,0.305110,1.253270,5.586177,5.602858,1487,26359,3600.000000,4,15,0,GUROBI,1,0,0,0
29,Old,4,0.000681,0.001164,0.000690,0.139516,0.149992,0.150003,0.221359,0.819047,6.570884,6.571027,1599,23022,3600.000000,4,13,0,GUROBI,1,0,0,0
30,Old,4,0.000705,0.001155,0.000718,0.119316,0.150182,0.150182,0.261781,0.936112,9.434157,9.567914,911,20514,3600.000000,4,24,0,GUROBI,1,0,0,0
31,Old,4,0.000681,0.001148,0.000712,0.133933,0.149989,0.150003,0.241435,0.712658,4.363307,4.371726,1624,21252,3600.000000,4,16,0,GUROBI,1,0,0,0
32,Old,4,0.000689,0.001148,0.000706,0.116323,0.149991,0.150003,0.242457,0.812581,5.514627,5.514759,2071,32943,3600.000000,4,15,0,GUROBI,1,0,0,0
33,Old,4,-0.006684,-0.006216,-0.006672,0.132847,0.142596,0.142606,0.248547,0.876860,1.403422,1.958674,1019,12051,3600.000000,4,11,0,GUROBI,1,0,0,0
34,Old,4,0.000680,0.001164,0.000739,0.125714,0.149718,0.149729,0.208669,1.098610,4.527170,4.893354,1745,27615,3600.000000,4,16,0,GUROBI,1,0,0,0
35,Old,4,-0.014044,-0.013991,-0.014040,0.123569,0.134814,0.134828,0.288966,0.988513,2.965612,3.257929,1877,27275,3600.000000,4,15,0,GUROBI,1,0,0,0
36,Old,4,-0.006682,-0.006215,-0.006672,0.137135,0.142638,0.142638,0.246264,1.096764,3.364346,3.576015,834,14991,3600.000000,4,15,0,GUROBI,1,0,0,0
37,Old,4,-0.011825,-0.011772,-0.011781,0.122944,0.137489,0.137493,0.271391,0.750888,5.064884,5.065018,1338,21227,3600.000000,4,17,0,GUROBI,1,0,0,0
38,Old,4,0.000681,0.001148,0.000736,0.139506,0.150003,0.150003,0.223157,1.030138,4.989861,5.301848,1123,17762,3600.000000,4,14,0,GUROBI,1,0,0,0
39,Old,4,-0.011826,-0.011771,-0.011782,0.117687,0.137036,0.137048,0.267092,1.199294,5.542529,5.542661,1621,28211,3600.000000,4,14,0,GUROBI,1,0,0,0
40,Old,4,-0.012266,-0.012211,-0.012259,0.108575,0.137046,0.137058,0.288505,1.314402,5.589951,6.186303,1745,30325,3600.000000,4,12,0,GUROBI,1,0,0,0
41,Old,4,-0.006668,-0.006214,-0.006659,0.109670,0.142178,0.142190,0.255566,1.031138,4.393331,5.375572,1938,34000,3600.000000,4,17,0,GUROBI,1,0,0,0
42,Old,4,0.000695,0.001132,0.000746,0.128256,0.157815,0.157815,0.209841,1.221439,15.256948,15.705679,1262,25855,3600.000000,4,17,0,GUROBI,1,0,0,0
43,Old,4,-0.006682,-0.006214,-0.006628,0.131771,0.142268,0.142268,0.255801,0.873340,2.160515,2.508992,1610,19237,3600.000000,4,14,0,GUROBI,1,0,0,0
44,Old,4,0.000689,0.001148,0.000697,0.131058,0.150064,0.150065,0.239020,1.138927,5.447841,6.208316,1467,24616,3600.000000,4,11,0,GUROBI,1,0,0,0
45,Old,4,-0.011825,-0.011772,-0.011793,0.104268,0.137485,0.137485,0.252461,0.902761,5.478198,5.478326,1579,26131,3600.000000,4,8,0,GUROBI,1,0,0,0
46,Old,4,-0.013608,-0.013139,-0.013598,0.123952,0.135706,0.135706,0.236440,0.884784,2.232549,2.717433,1716,19999,3600.000000,4,15,0,GUROBI,1,0,0,0
47,Old,4,-0.006671,-0.006629,-0.006662,0.116687,0.142187,0.142190,0.291540,1.110611,7.131906,7.132037,2842,43345,3600.000000,4,13,0,GUROBI,1,0,0,0
48,Old,4,-0.002681,-0.002214,-0.002673,0.134403,0.146718,0.146718,0.279672,0.969550,4.803332,4.803465,1232,21289,3600.000000,4,14,0,GUROBI,1,0,0,0
49,Old,4,-0.006667,-0.006200,-0.006650,0.106878,0.142676,0.142676,0.218238,0.919250,5.639095,6.896595,2193,37808,3600.000000,4,16,0,GUROBI,1,0,0,0
