instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,2654.736802,2670.678675,2669.135423,2682.053033,2713.000000,2713.000000,122.504972,124.220287,125.556045,127.864994,451,29907,600.000000,4,182,182,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2686.000000,2713.000000,2713.000000,0.471973,3.146265,4.431406,10.022408,429,69926,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
10,0,NoTerm,4,2654.751360,2670.693117,2669.149903,2683.015618,2712.937500,2713.015625,0.468960,2.382016,22.301736,22.314065,2259,122344,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
2,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2686.000000,2712.750000,2713.000000,0.470415,3.180884,39.850776,41.135420,2180,280747,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
3,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2686.000000,2712.781250,2713.000000,0.467780,3.200236,4.596942,14.194868,613,109898,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
4,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2684.999898,2712.828125,2713.000000,0.467171,2.479166,36.515189,36.943147,2689,219638,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
5,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2683.999911,2713.000000,2713.000000,0.470842,2.395823,20.908562,24.448255,1687,173956,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
6,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2684.000000,2713.000000,2713.000000,0.467535,3.125266,20.482578,20.857159,1626,119154,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
7,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2686.000000,2713.000000,2713.000000,0.463992,3.138237,4.267801,11.243717,470,86408,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
8,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2684.999996,2712.765625,2713.000000,0.464286,2.751079,26.172183,26.172703,2259,135165,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
9,0,NoTerm,4,2654.736802,2670.678675,2669.135423,2683.999964,2712.890625,2713.000000,0.465981,2.348393,15.486438,20.953368,1557,113649,600.000000,4,182,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
