instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,4,7579621.830870,7579621.830870,7579621.830870,7580181.431830,7580458.334080,7581181.833869,0.000002,0.697022,13.461114,13.461386,3004,39641,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,4,7579412.008273,7579412.008273,7579412.008273,7579997.337143,7580549.506680,7581093.050338,0.000002,0.676561,74.765046,74.769100,18319,188263,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,4,7577657.528425,7577657.528425,7577657.528425,7578621.506375,7579012.105211,7579612.043494,0.000002,0.752541,71.769711,71.773773,16383,191395,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,4,7579292.810201,7579292.810201,7579292.810201,7579859.554842,7580278.601163,7580767.711593,0.000002,0.551342,13.487198,13.490417,4594,37685,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,4,7578355.523063,7578355.523063,7578355.523063,7579081.005493,7579448.874953,7579939.260761,0.000002,0.642812,30.909109,30.910682,7551,88539,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,4,7578566.058504,7578566.058504,7578566.058504,7579248.149660,7580022.883708,7580464.003281,0.000002,0.608178,66.945181,67.630911,13772,157867,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,4,7578806.498528,7578806.498528,7578806.498528,7579461.013918,7579660.792002,7580233.444699,0.000002,0.638006,21.214891,21.218275,5979,71342,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,4,7578396.457001,7578396.457001,7578396.457001,7579206.056259,7579636.160854,7580098.553387,0.000002,0.708786,67.852437,67.855387,16089,192321,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,4,7578351.251782,7578351.251782,7578351.251782,7578911.928857,7579241.052827,7579920.379122,0.000002,0.580010,15.339212,19.772604,5010,63885,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,4,7578714.431947,7578714.431947,7578714.431947,7579322.872979,7579750.161144,7580313.517927,0.000003,0.762282,12.875675,48.594758,10422,102106,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,4,7579444.768460,7579444.768460,7579444.768460,7580065.219099,7580570.360708,7581169.813731,0.000002,0.643250,23.703449,23.706289,7996,82469,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
