instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,11.724138,27.000000,22.805825,26.687360,46.750000,46.750000,669.369220,670.111567,686.751627,708.416433,6249,493005,600.000000,64,3,26,GUROBI,1,20,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,64,11.724138,27.000000,22.805825,32.350314,46.750000,46.750000,0.998439,2.593271,29.952106,45.474441,8361,609372,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
10,0,NoDisjunction,64,11.703125,25.312500,21.380461,35.227594,45.625000,45.625000,3.437490,5.001702,8.465315,50.803043,9540,690585,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
2,0,NoDisjunction,64,10.991379,25.312500,21.380461,32.716974,43.828125,43.828125,2.418061,3.851177,33.232423,51.465079,8622,665289,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
3,0,NoDisjunction,64,11.151786,25.312500,21.380461,36.176447,45.937500,45.937500,3.222921,5.062666,39.774843,72.510187,9915,859839,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
4,0,NoDisjunction,64,11.724536,27.000000,22.805825,40.231592,46.750000,46.750000,1.346212,2.749260,3.943940,50.780394,6301,528583,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
5,0,NoDisjunction,64,11.312500,25.312500,21.380461,37.930716,45.687500,45.687500,3.518276,5.740975,31.018192,56.151702,8187,683070,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
6,0,NoDisjunction,64,11.733184,27.062500,22.868325,40.172904,46.812500,46.812500,1.249837,2.488139,6.948965,41.374025,4812,395691,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
7,0,NoDisjunction,64,11.724138,25.312500,21.380461,32.818044,43.896926,43.896926,2.953535,4.169461,40.431406,55.645434,7433,681272,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
8,0,NoDisjunction,64,11.724138,27.000000,22.805825,32.573163,46.750000,46.750000,1.309068,3.021753,31.973049,55.485536,8255,664096,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
9,0,NoDisjunction,64,11.724138,27.000000,22.805825,32.308575,46.750000,46.750000,1.328455,2.764399,27.906690,47.275870,7659,640652,600.000000,64,3,0,GUROBI,1,20,0,0,0,0,0,0,1,1,1
