instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,444.436047,445.058824,444.436047,446.386213,472.000000,472.000000,4.289446,5.546436,45.747998,83.352007,10202,908450,600.000000,67,1,30,GUROBI,1,57,0,0,0,0,0,0,0,0,0
1,0,NoBasis,64,444.436047,445.058824,444.436047,445.000000,472.000000,472.000000,0.413795,0.648368,118.768567,126.078772,10950,584005,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
10,0,NoBasis,64,444.436047,445.028064,444.436047,445.940560,460.000000,471.937500,0.401003,0.829648,205.125576,600.402518,125381,4533925,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
2,0,NoBasis,64,444.436047,445.058824,444.436047,445.000000,472.000000,472.000000,0.402144,0.807385,72.637119,73.461955,10212,535788,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
3,0,NoBasis,64,444.436047,445.028064,444.436047,445.000000,471.937500,471.937500,0.393216,0.775855,90.925585,94.907979,11477,594666,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
4,0,NoBasis,64,444.424271,445.026988,444.424271,444.994676,462.000000,471.937500,0.440854,0.735514,140.762821,600.442367,447136,8158709,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
5,0,NoBasis,64,444.436047,445.055886,444.436047,445.000000,472.000000,472.000000,0.345238,0.650933,29.711845,110.566453,11487,701565,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
6,0,NoBasis,64,444.436047,445.058824,444.436047,445.000000,472.000000,472.000000,0.418103,0.754300,28.213694,71.707086,10202,532178,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
7,0,NoBasis,64,444.436047,445.058824,444.436047,445.000000,472.000000,472.000000,0.278379,0.673534,72.772542,72.781484,10202,453787,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
8,0,NoBasis,64,444.373547,444.996324,444.373547,444.937500,456.000000,471.937500,0.451125,0.864041,283.769860,600.452642,130400,6705331,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
9,0,NoBasis,64,444.436047,445.058824,444.436047,445.000000,472.000000,472.000000,0.276789,0.589580,8.816600,15.710290,10202,222077,600.000000,67,1,0,GUROBI,1,57,0,0,0,0,0,1,1,1,0
