instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,444.436047,445.058824,444.436047,446.000000,454.000000,472.000000,1.881858,2.282453,157.581512,601.883326,91702,5148346,600.000000,4,24,30,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Disjunction,4,444.436047,445.058824,444.436047,444.750000,471.750000,471.750000,0.020285,0.271636,24.779804,31.516416,10202,307890,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
10,0,Disjunction,4,444.436047,445.058824,444.436047,446.000000,472.000000,472.000000,0.024290,0.345521,81.560001,85.959020,10678,469051,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
2,0,Disjunction,4,444.303645,444.889996,444.303645,445.795174,464.000000,472.000000,0.028791,0.366685,102.634980,600.030511,391098,7886792,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
3,0,Disjunction,4,444.436047,445.058824,444.436047,446.000000,456.000000,472.000000,0.021947,0.754375,536.425767,600.023827,105860,5008785,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
4,0,Disjunction,4,444.436047,445.058824,444.436047,445.896515,471.750000,471.750000,0.021760,0.567757,87.779280,99.511829,11718,503735,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
5,0,Disjunction,4,444.436047,444.898338,444.436047,445.000000,471.750000,471.750000,0.025734,0.368618,83.316086,359.500639,224454,5017359,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
6,0,Disjunction,4,444.436047,445.058824,444.436047,446.000000,472.000000,472.000000,0.020784,0.307121,77.480267,79.285269,10214,651248,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
7,0,Disjunction,4,444.374692,444.951903,444.374692,445.000000,471.750000,471.750000,0.035188,0.338367,103.383132,106.407285,12680,717693,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
8,0,Disjunction,4,444.436047,445.058824,444.436047,446.000000,472.000000,472.000000,0.021263,0.478614,74.680953,83.311883,11401,569874,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
9,0,Disjunction,4,444.436047,445.058824,444.436047,445.000000,472.000000,472.000000,0.030545,0.549669,103.298485,113.081108,13760,667700,600.000000,4,24,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
