instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,811.278996,812.338958,812.276638,812.223061,934.007916,934.007916,120.580933,121.077803,162.540823,162.541934,8171,91533,600.000000,4,30,30,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Disjunction,4,811.278996,812.338958,812.276638,812.223061,933.944869,934.007916,0.112528,0.602446,44.033943,48.296506,7613,88520,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
10,0,Disjunction,4,810.039604,810.140096,810.096762,812.223061,934.007916,934.007916,0.132349,0.639553,25.999630,33.169773,6254,70778,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
2,0,Disjunction,4,811.278996,812.245927,812.129896,812.223061,934.007916,934.007916,0.118958,0.619471,50.354570,50.355613,7940,92943,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
3,0,Disjunction,4,811.278996,812.338958,812.276638,812.223061,934.007916,934.007916,0.115810,0.639684,31.977036,54.291266,7993,101817,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
4,0,Disjunction,4,811.267859,812.091411,811.970207,812.223061,934.007916,934.007916,0.131893,0.621421,15.263147,15.264176,3738,42626,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
5,0,Disjunction,4,811.278996,812.338958,812.276638,812.223061,934.007916,934.007916,0.126614,0.631711,21.952248,28.507238,5018,58661,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
6,0,Disjunction,4,805.682624,805.735549,805.688923,812.223061,934.007916,934.007916,0.134156,0.630760,26.585723,33.298201,5404,65072,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
7,0,Disjunction,4,811.165392,812.158624,811.949699,812.223061,934.007916,934.007916,0.144681,0.661512,44.764973,46.740344,7123,83887,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
8,0,Disjunction,4,811.278996,812.338958,812.276638,812.223061,934.007916,934.007916,0.164753,0.657858,25.608926,33.904961,6001,68762,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
9,0,Disjunction,4,788.105762,788.105762,788.105762,812.223061,933.953448,934.007916,0.159149,0.673447,23.326415,30.654192,5160,59710,600.000000,4,30,0,GUROBI,1,0,0,0,0,30,3,1,0,0,0
