instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,811.278996,812.338958,812.276638,812.223061,934.007916,934.007916,120.496805,120.989634,155.420068,157.971992,6354,72294,600.000000,4,30,30,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Farkas,4,811.387556,811.387556,811.387556,811.387556,936.007916,936.007916,0.205116,0.671441,27.362431,29.022852,6713,84351,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,Farkas,4,794.077186,794.077186,794.077186,794.077186,939.007916,939.007916,0.196485,0.650982,39.735064,39.736162,8678,98572,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,Farkas,4,808.168982,808.338011,808.310291,808.302259,938.007916,938.007916,0.179557,0.658414,31.764221,34.933411,6844,80143,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,Farkas,4,805.873094,805.873094,805.873094,805.873094,935.005461,935.007916,0.183523,0.651997,20.619788,25.104295,6162,72938,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,Farkas,4,805.239517,805.239517,805.239517,805.239517,921.007916,921.007916,0.213740,0.685589,7.776272,22.034232,4375,53807,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,Farkas,4,795.964023,796.833687,796.184503,796.184503,944.007916,944.007916,0.220098,0.698689,27.916221,31.148583,6113,78823,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,Farkas,4,804.775598,804.834473,804.787131,804.787131,935.985791,936.007916,0.184898,0.654188,43.553707,43.554675,7062,81952,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,Farkas,4,810.032165,812.378185,811.737852,811.733942,934.007916,934.007916,0.175737,0.669096,9.069667,24.382510,5193,62568,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,Farkas,4,806.900599,807.441279,807.189636,807.189636,942.007916,942.007916,0.184025,0.661166,3.973103,26.753219,5507,67013,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,Farkas,4,804.618409,805.826627,804.915034,804.889073,929.007916,929.007916,0.194647,0.701201,10.065412,25.142053,5211,62746,600.000000,4,30,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
