instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,28427.048405,29521.945883,28721.228958,58402.178097,65886.629541,65887.000000,0.406976,1.493757,1.936804,10.423590,628,18675,600.000000,4,4,134,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Farkas,4,-67822.082538,-67001.394931,-67691.708486,-36184.644371,-25858.000000,-25858.000000,0.027620,0.898324,10.072985,10.073801,701,16224,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,Farkas,4,-206042.648658,-205959.368240,-206042.648658,-172703.745823,-164459.032656,-164448.000000,0.030064,0.946316,4.700348,8.746530,2405,30388,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,Farkas,4,6082.780849,7163.737914,6130.780849,35721.388979,43138.000000,43138.000000,0.024996,0.684528,10.837271,10.843051,676,19335,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,Farkas,4,8015.838037,9055.651625,8201.203213,38770.900624,45668.000000,45668.000000,0.025294,1.115135,7.704337,7.723273,648,14443,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,Farkas,4,-314368.750260,-313407.216077,-314368.750260,-274493.875981,-264457.296135,-264436.000000,0.031030,0.564740,7.781536,7.785893,659,12240,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,Farkas,4,3884.798228,4693.454764,4022.276145,35236.130056,42390.000000,42389.999586,0.024223,0.887469,10.749548,10.774393,686,18620,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,Farkas,4,-15458.685146,-14674.305076,-15458.685146,15851.012921,25400.000000,25400.000000,0.026615,0.654711,9.760162,9.791873,670,14812,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,Farkas,4,3129.907758,4544.497716,3385.676072,35467.523773,44527.928943,44528.000000,0.025208,0.764041,9.314253,9.315553,631,16661,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,Farkas,4,17623.412589,18840.612009,17883.185421,49321.765462,58474.000000,58476.000000,0.023606,1.046409,12.843329,12.856950,747,22161,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,Farkas,4,-692.818430,-27.859497,-453.156317,28052.112055,37931.000000,37931.000000,0.024630,0.863016,1.586357,9.617195,645,16663,600.000000,4,4,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
