instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,0.012000,0.030968,0.030968,0.090180,0.336528,0.336528,0.848111,0.979782,28.566675,31.240289,11298,236098,600.000000,4,31,31,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,New,4,0.011895,0.030968,0.030968,0.068641,0.342760,0.342760,0.940867,1.111633,36.733007,36.733167,10458,312825,600.000000,4,59,59,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,New,4,0.011914,0.031165,0.031165,0.092060,0.333210,0.333210,1.044119,1.231386,32.285953,32.286116,10590,248359,600.000000,4,59,59,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,New,4,0.011994,0.031158,0.031158,0.072677,0.343607,0.343607,0.955286,1.109687,36.398243,36.398404,12000,291820,600.000000,4,53,59,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,New,4,0.011995,0.031162,0.031162,0.119148,0.338272,0.338283,0.960628,1.204328,2.755598,37.347096,16500,391399,600.000000,4,59,59,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,New,4,0.011900,0.031161,0.031161,0.122835,0.329762,0.329762,0.961286,1.243703,33.499511,33.499678,11006,227818,600.000000,4,51,59,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,New,4,0.011853,0.031178,0.031178,0.070845,0.301093,0.301093,0.966590,1.134194,30.218831,30.218995,10456,204669,600.000000,4,59,59,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,New,4,0.011612,0.031559,0.031559,0.107209,0.335607,0.335607,0.893305,1.088581,1.406108,37.633292,10663,269318,600.000000,4,56,56,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,New,4,0.011796,0.030972,0.030972,0.065519,0.286949,0.286960,0.972308,1.168255,2.677667,31.800659,16697,368031,600.000000,4,58,58,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,New,4,0.010449,0.029254,0.012898,0.040434,0.239444,0.239444,1.094061,1.268446,24.846317,24.936306,12845,251329,600.000000,4,52,52,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,New,4,0.011713,0.031585,0.031585,0.071855,0.329991,0.329991,0.954243,1.111662,23.236327,30.642754,11703,278456,600.000000,4,57,57,GUROBI,1,0,0,0,0,0,0,0,0,0,0
