instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,4,0.012000,0.012000,0.012000,0.064681,0.336528,0.336528,0.000003,0.300699,30.797766,31.997112,10637,229937,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,4,-0.217724,-0.217724,-0.217724,-0.159099,0.099342,0.099342,0.000003,0.180088,31.427143,36.929134,10464,211599,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,4,0.012000,0.012000,0.012000,0.071519,0.336528,0.336528,0.000003,0.237383,32.613214,32.613362,10266,196262,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,4,-0.219032,-0.219032,-0.219032,-0.187864,0.105882,0.105882,0.000004,0.212073,9.011743,54.319644,14084,365806,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,4,0.012000,0.012000,0.012000,0.064681,0.336528,0.336528,0.000003,0.281606,45.188689,45.391671,12737,312456,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,4,0.012000,0.012000,0.012000,0.105897,0.336528,0.336528,0.000004,0.348451,43.380297,47.275981,11853,291359,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,4,0.012000,0.012000,0.012000,0.064681,0.336528,0.336528,0.000003,0.140785,30.193488,31.434268,10358,229540,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,4,0.012000,0.012000,0.012000,0.064681,0.336528,0.336528,0.000002,0.175640,35.658134,36.263732,11024,258975,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,4,0.012000,0.012000,0.012000,0.091007,0.336528,0.336528,0.000002,0.203391,22.567777,43.962317,10389,236987,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,4,0.012000,0.012000,0.012000,0.067030,0.336528,0.336528,0.000003,0.221470,41.523667,41.523825,10734,254017,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,4,-0.092724,-0.092724,-0.092724,-0.043005,0.224340,0.224340,0.000003,0.281106,42.257626,42.257760,11178,277357,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
