instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,0.012000,0.072828,0.042089,0.100340,0.336528,0.336528,16.185816,16.453120,47.922553,47.922742,10334,265837,600.000000,64,31,31,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Matrix,64,0.012000,0.072828,0.042089,0.072787,0.284305,0.284313,0.291489,0.457755,2.626971,12.753938,4355,112524,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
10,0,Matrix,64,0.012000,0.072828,0.042089,0.100340,0.336528,0.336527,0.284947,0.541981,2.339082,33.968071,10573,281169,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
2,0,Matrix,64,0.012000,0.072828,0.042089,0.100340,0.336784,0.336784,0.281733,0.540244,24.937609,28.790904,11291,207238,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
3,0,Matrix,64,-0.969032,-0.912129,-0.941980,-0.888508,-0.650774,-0.650774,0.313683,0.567742,31.196326,31.196504,12128,233620,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
4,0,Matrix,64,0.012000,0.082828,0.042089,0.083377,0.336513,0.336528,0.326074,0.529544,32.489985,32.490148,11334,244752,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
5,0,Matrix,64,-0.967724,-0.927172,-0.945315,-0.887927,-0.657193,-0.657175,0.305317,0.574637,28.727886,28.728083,11209,217245,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
6,0,Matrix,64,0.012000,0.072828,0.042089,0.100340,0.336528,0.336528,0.286564,0.545280,2.237982,34.606550,11485,271033,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
7,0,Matrix,64,0.012000,0.072828,0.042089,0.100340,0.336528,0.336528,0.305690,0.564180,2.357921,34.032230,10702,283980,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
8,0,Matrix,64,-0.969032,-0.907818,-0.938943,-0.875189,-0.644118,-0.644118,0.303074,0.537033,29.995586,29.995767,10410,212490,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
9,0,Matrix,64,0.012000,0.082828,0.042089,0.080654,0.336528,0.336528,0.339178,0.561058,34.497915,34.865734,10459,274168,600.000000,64,31,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
