instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,3892.000000,3892.000000,3892.000000,3935.074074,3941.616613,3942.000000,0.170862,0.576040,13.107100,15.578119,4820,101208,600.000000,4,4,119,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoMatrix,4,3938.000000,3938.000000,3938.000000,3979.000000,3984.666667,3985.000000,0.014500,0.486912,11.489790,11.490958,3449,78814,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
10,0,NoMatrix,4,3928.000000,3928.000000,3928.000000,3957.301587,3974.647967,3975.000000,0.012664,0.221727,14.113007,17.176150,7808,125473,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
2,0,NoMatrix,4,3910.000000,3910.000000,3910.000000,3942.571429,3946.633850,3947.000000,0.011851,0.348390,7.560376,7.593662,2832,52342,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
3,0,NoMatrix,4,3900.000000,3900.000000,3900.000000,3927.130751,3945.606383,3945.999999,0.012832,0.380501,6.382450,9.130550,3953,55116,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
4,0,NoMatrix,4,3916.000000,3916.000000,3916.000000,3948.013534,3954.000000,3954.000000,0.012679,0.186581,0.012679,0.446991,319,2539,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
5,0,NoMatrix,4,3925.000000,3925.000000,3925.000000,3955.500000,3956.996994,3957.000000,0.013755,0.411485,5.582989,5.624053,2009,30241,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
6,0,NoMatrix,4,3936.000000,3936.000000,3936.000000,3957.000000,3965.626787,3966.000000,0.013438,0.256920,5.393559,7.243327,2022,41485,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
7,0,NoMatrix,4,3927.000000,3927.000000,3927.000000,3945.000000,3951.614520,3952.000000,0.013591,0.386949,7.690415,9.190777,2881,60373,600.000000,4,4,0,GUROBI,1,1,1,0,3,0,0,1,0,1,1
8,0,NoMatrix,4,3936.000000,3936.000000,3936.000000,3952.630370,3960.699670,3961.000000,0.012689,0.247811,5.416359,7.464408,3135,53632,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
9,0,NoMatrix,4,3937.000000,3937.000000,3937.000000,3948.000000,3957.700437,3958.000000,0.012496,0.147762,8.737224,10.485273,3823,72413,600.000000,4,4,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
