instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,3892.000000,3892.000000,3892.000000,3934.121107,3941.610431,3942.000000,2.737715,3.065416,17.737820,18.364078,4456,91285,600.000000,64,3,119,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,New,64,3938.000000,3938.000000,3938.000000,3972.148216,3984.666667,3985.000000,1.999289,2.168428,7.105465,7.890630,3954,53282,600.000000,64,2,115,GUROBI,1,11,0,0,0,0,0,0,0,0,0
10,0,New,64,3928.000000,3928.000000,3928.000000,3960.000000,3975.000000,3975.000000,1.769355,2.141121,13.739496,17.010099,6633,89829,600.000000,64,1,113,GUROBI,1,16,0,0,0,0,0,0,0,0,0
2,0,New,64,3910.000000,3910.000000,3910.000000,3943.000000,3946.703518,3947.000000,2.087726,2.450523,6.967309,7.142618,2191,34131,600.000000,64,2,121,GUROBI,1,3,0,0,0,0,0,0,0,0,0
3,0,New,64,3900.000000,3900.000000,3900.000000,3928.851914,3945.689655,3945.999999,2.357820,2.817045,10.111092,13.465741,4513,65063,600.000000,64,3,121,GUROBI,1,2,0,0,0,0,0,0,0,0,0
4,0,New,64,3916.000000,3916.000000,3916.000000,3948.242046,3954.000000,3954.000000,2.524344,2.717710,2.875246,3.071115,396,3084,600.000000,64,5,113,GUROBI,1,9,0,0,0,0,0,0,0,0,0
5,0,New,64,3925.000000,3935.000000,3925.000000,3954.000000,3956.618510,3957.000000,2.352001,2.574142,6.332950,6.383309,1520,24426,600.000000,64,4,108,GUROBI,1,13,0,0,0,0,0,0,0,0,0
6,0,New,64,3936.000000,3936.000000,3936.000000,3957.000000,3965.644154,3966.000000,2.232188,2.423051,7.672974,9.062481,2204,37558,600.000000,64,3,108,GUROBI,1,12,0,0,0,0,0,0,0,0,0
7,0,New,64,3927.000000,3927.000000,3927.000000,3945.000000,3951.687861,3952.000000,2.171446,2.476565,12.158938,13.277882,3595,67506,600.000000,64,3,109,GUROBI,1,12,0,0,0,0,0,0,0,0,0
8,0,New,64,3936.000000,3936.000000,3936.000000,3949.000000,3960.970817,3961.000000,1.899254,2.120079,8.797082,9.738970,3778,64643,600.000000,64,2,113,GUROBI,1,15,0,0,0,0,0,0,0,0,0
9,0,New,64,3937.000000,3937.000000,3937.000000,3948.000000,3957.611449,3958.000000,2.293318,2.563518,14.476001,16.134647,4124,80117,600.000000,64,3,111,GUROBI,1,4,0,0,0,0,0,0,0,0,0
