instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,3892.000000,3892.000000,3892.000000,3935.125926,3941.619355,3942.000000,0.000020,0.203762,8.707424,9.742864,4194,82943,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,3938.000000,3938.000000,3938.000000,3977.166667,3984.750000,3985.000000,0.000002,0.215764,3.752567,5.043534,3461,51156,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,3928.000000,3928.000000,3928.000000,3958.444444,3975.000000,3975.000000,0.000002,0.144787,5.850802,10.973054,8533,109939,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,3910.000000,3910.000000,3910.000000,3943.000000,3946.612730,3947.000000,0.000004,0.145072,7.723094,7.744302,3713,64908,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,3900.000000,3900.000000,3900.000000,3928.472727,3945.664066,3945.999999,0.000002,0.208305,9.045750,9.113757,5169,91390,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,3916.000000,3916.000000,3916.000000,3952.666667,3954.000000,3954.000000,0.000003,0.264382,0.419325,0.850821,518,6493,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,3925.000000,3925.000000,3925.000000,3952.000000,3956.985171,3957.000000,0.000002,0.180843,3.353047,3.875926,1322,25665,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,3936.000000,3936.000000,3936.000000,3957.000000,3965.652687,3966.000000,0.000002,0.125503,6.424476,7.481180,3146,63664,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,3927.000000,3927.000000,3927.000000,3945.000000,3951.640608,3952.000000,0.000004,0.203782,6.352619,7.570240,3953,68788,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,3936.000000,3936.000000,3936.000000,3950.223923,3960.636011,3961.000000,0.000003,0.215290,5.824408,6.926970,3479,62662,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,3937.000000,3937.000000,3937.000000,3948.000000,3957.611557,3958.000000,0.000002,0.243377,10.368539,13.333193,5790,121956,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
