instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,38893.903641,38924.292248,38910.357848,39045.169842,40001.064115,40005.053810,1.043812,1.390996,51.091725,51.091919,246959,1274959,600.000000,4,7,11,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Term,4,17947.610701,17947.610701,17947.610701,17947.610701,17947.610330,17947.610960,0.023712,0.033580,0.023712,0.033580,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
10,0,Term,4,17947.611312,17947.611312,17947.611312,17947.611312,17947.610330,17947.611570,0.027027,0.031552,0.027027,0.031552,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
2,0,Term,4,17947.610975,17947.610975,17947.610975,17947.610975,17947.610330,17947.611200,0.023745,0.028306,0.023745,0.028306,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
3,0,Term,4,17947.610935,17947.610935,17947.610935,17947.610935,17947.610330,17947.611160,0.022488,0.026192,0.022488,0.026192,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
4,0,Term,4,17947.610826,17947.610826,17947.610826,17947.610826,17947.610330,17947.611070,0.021552,0.027086,0.021552,0.027086,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
5,0,Term,4,17947.611037,17947.611037,17947.611037,17947.611037,17947.610330,17947.611240,0.023911,0.028034,0.023911,0.028034,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
6,0,Term,4,17947.610597,17947.610597,17947.610597,17947.610597,17947.610330,17947.610810,0.022199,0.025802,0.022199,0.025802,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
7,0,Term,4,17947.611334,17947.611334,17947.611334,17947.611334,17947.610330,17947.611590,0.022008,0.028605,0.022008,0.028605,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
8,0,Term,4,17947.611391,17947.611391,17947.611391,17947.611391,17947.610330,17947.611540,0.029642,0.035528,0.029642,0.035528,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
9,0,Term,4,17947.610800,17947.610800,17947.610800,17947.610800,17947.610330,17947.611060,0.018626,0.023140,0.018626,0.023140,0,0,600.000000,4,7,0,GUROBI,1,0,0,0,4,7,0,0,0,1,0
