instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,38893.903641,38893.903641,38893.903641,39029.457292,40001.055026,40005.053810,0.000019,0.232813,23.875082,56.781873,286239,1489136,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,0.000214,0.000214,0.000214,0.000282,0.000282,0.000280,0.000002,0.000002,0.000002,0.006818,1,25,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,26504.809416,26504.809416,26504.809416,26707.644157,27631.300159,27634.053830,0.000002,0.434586,51.087324,51.087477,277509,1434441,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,65062.353162,65062.353162,65062.353162,65141.596227,65749.670134,65756.243920,0.000002,0.194401,19.200895,21.429360,100709,533628,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,0.000214,0.000214,0.000214,0.000250,0.000250,0.000250,0.000004,0.000004,0.000004,0.006083,1,30,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,93884.077815,93884.077815,93884.077815,94324.444298,94552.121050,94556.313120,0.000002,0.095539,0.339582,0.474325,1323,5261,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,0.000214,0.000214,0.000214,0.000282,0.000282,0.000280,0.000002,0.000002,0.000002,0.008060,1,25,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,32677.827067,32677.827067,32677.827067,32881.499144,33699.781801,33703.141710,0.000002,0.520486,6.410999,33.624685,175732,912411,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,65039.896761,65039.896761,65039.896761,65109.863063,65722.428522,65729.000110,0.000003,0.094367,7.571107,34.510851,180005,913029,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,51694.816201,51694.816201,51694.816201,51830.996170,52649.863429,52655.123829,0.000003,0.197833,9.742395,85.871972,590858,2782256,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,0.000214,0.000214,0.000214,0.000282,0.000282,0.000280,0.000003,0.000003,0.000003,0.010126,1,25,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
