instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,91.764706,91.764706,91.764706,1522.338096,1566.000000,1566.000000,0.000002,2.659487,66.450710,66.451115,1033,110709,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,6.772478,6.772478,6.772478,488.539974,491.000000,491.000000,0.000002,0.418620,0.784437,0.789063,134,2710,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,48.220237,48.220237,48.220237,516.767452,519.000000,519.000000,0.000002,0.528981,0.544718,0.550815,10,2078,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,45.625432,45.625432,45.625432,456.221527,461.000000,461.000000,0.000002,0.184616,0.000002,0.188331,1,1278,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,10.508528,10.508528,10.508528,564.434828,567.000000,567.000000,0.000002,0.508885,0.756701,0.758205,104,2676,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,5.114732,5.114732,5.114732,434.091368,439.000000,439.000000,0.000002,0.350748,0.495379,0.495717,54,1918,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,22.200330,22.200330,22.200330,534.561108,537.000000,537.000000,0.000001,0.425219,0.535346,0.542741,35,2069,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,29.928366,29.928366,29.928366,467.136376,472.000000,472.000000,0.000002,0.403598,0.824113,0.824456,221,3087,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,34.730349,34.730349,34.730349,480.689454,486.000000,486.000000,0.000002,0.528077,1.059699,1.060060,241,3455,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,50.582630,50.582630,50.582630,535.532179,541.000000,541.000000,0.000001,0.575479,1.019701,1.020056,152,3567,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,45.305716,45.305716,45.305716,636.117642,640.000000,640.000000,0.000002,0.483903,0.761993,0.762358,109,2868,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
