instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,91.764706,91.764706,91.764706,1529.878207,1566.000000,1566.000000,0.000002,2.752113,52.741804,53.374450,771,84694,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,6708.245989,6708.245989,6708.245989,6783.298446,6833.000000,6833.000000,0.000002,1.060100,405.100275,452.009799,19655,1597345,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,6473.973262,6473.973262,6473.973262,6575.081547,6620.000000,6620.000000,0.000002,0.941810,397.303297,403.981238,34789,2021338,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,6402.155080,6402.155080,6402.155080,6496.180591,6552.000000,6557.000000,0.000002,1.090316,61.437633,600.004749,50948,3452387,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,6302.609626,6302.609626,6302.609626,6406.097087,6444.000000,6444.000000,0.000003,1.081492,103.130270,106.546526,15405,563064,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,5741.422460,5741.422460,5741.422460,5868.107391,5923.000000,5923.000000,0.000003,1.005429,516.021998,522.787638,32497,1992331,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,6825.593583,6825.593583,6825.593583,6926.722613,6963.000000,6963.000000,0.000002,0.832275,63.211197,75.750577,13925,492251,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,6570.315508,6570.315508,6570.315508,6625.378303,6676.000000,6676.000000,0.000002,1.197490,412.476306,430.373346,34032,2106576,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,6116.491979,6116.491979,6116.491979,6188.060115,6243.000000,6243.000000,0.000002,1.047908,355.377881,383.508849,36773,2058352,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,5811.609626,5811.609626,5811.609626,5946.048685,5985.000000,5985.000000,0.000002,1.141762,247.687798,277.076824,18110,1227964,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,6829.385027,6829.385027,6829.385027,6897.657155,6939.000000,6939.000000,0.000002,0.936945,259.693685,260.608449,19023,1030907,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
