instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,1415.000000,1425.000000,1422.656250,1535.000000,2810.000000,2810.000000,0.507430,1.053867,4.581862,8.830962,4207,53506,600.000000,4,16,16,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1532.384615,2810.000000,2810.000000,0.016441,0.548655,4.703519,20.075469,16021,170028,600.000000,4,16,0,GUROBI,1,0,0,0,0,16,0,1,0,0,0
10,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.016903,0.643728,4.023522,7.110728,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
2,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.017055,0.645777,4.026660,7.110848,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
3,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.016285,0.643067,4.017404,7.100282,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
4,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.016733,0.644262,4.017351,7.110581,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
5,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.017674,0.644820,4.025800,7.113220,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
6,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.016874,0.642970,4.018372,7.109563,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
7,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.017026,0.647328,4.029351,7.121597,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
8,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1537.352941,2810.000000,2810.000000,0.021464,0.594468,1.857785,26.108021,15119,175593,600.000000,4,16,0,GUROBI,1,0,0,0,2,16,0,1,0,0,0
9,0,Disjunction,4,1415.000000,1425.000000,1422.656250,1522.500000,2810.000000,2810.000000,0.017468,0.652088,4.016247,7.086728,4008,45992,600.000000,4,16,0,GUROBI,1,0,0,0,0,0,0,1,0,0,0
