instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,1415.000000,1415.000000,1415.000000,1532.553554,2810.000000,2810.000000,0.000002,0.600492,4.665290,9.381533,4703,62299,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,1415.000000,1415.000000,1415.000000,1520.858216,2810.000000,2810.000000,0.000003,0.713767,11.495788,43.568266,20465,288152,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,0.000002,0.364672,6.371678,30.506922,17437,218005,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,1414.992188,1414.992188,1414.992188,1527.493652,2809.984375,2809.984375,0.000003,0.553629,12.954220,29.400884,19740,237048,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,1415.000000,1415.000000,1415.000000,1532.553554,2810.000000,2810.000000,0.000002,0.594277,4.670181,9.402165,4703,62299,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,1415.000000,1415.000000,1415.000000,1525.000000,2810.000000,2810.000000,0.000003,0.480679,5.987221,30.141381,17461,229300,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,1415.000000,1415.000000,1415.000000,1525.000000,2810.000000,2810.000000,0.000002,0.484462,9.758747,33.069303,18050,224544,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,1415.000000,1415.000000,1415.000000,1532.553554,2810.000000,2810.000000,0.000003,0.607731,7.957319,10.903076,5786,80038,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,1415.000000,1415.000000,1415.000000,1528.333333,2810.000000,2810.000000,0.000002,0.438618,10.093724,34.959596,25349,286860,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,0.000002,0.485580,9.293324,36.345874,16619,233781,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,1415.000000,1415.000000,1415.000000,1528.333333,2810.000000,2810.000000,0.000005,0.435866,4.452010,18.409727,16200,154538,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
