instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,1415.000000,1425.000000,1415.000000,1518.000000,2810.000000,2810.000000,10.502672,11.242482,17.476126,26.503881,7663,78281,600.000000,95,14,16,GUROBI,1,85,0,0,0,0,0,0,0,0,0
1,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1541.052632,2810.000000,2810.000000,0.573083,1.366645,5.118734,9.196436,4230,47390,600.000000,95,14,0,GUROBI,1,85,0,0,0,0,0,1,1,1,0
10,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1535.869565,2725.000000,2725.000000,0.566963,1.226350,9.554918,11.499389,4591,56091,600.000000,95,14,0,GUROBI,1,85,0,0,0,0,0,1,1,1,0
2,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1518.000000,2810.000000,2810.000000,0.579319,1.228027,6.385224,13.902946,6702,76679,600.000000,95,14,0,GUROBI,1,85,0,0,0,0,0,1,1,1,0
3,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1529.535519,2810.000000,2810.000000,0.572106,1.358651,6.613287,26.123284,11183,151789,600.000000,95,14,0,GUROBI,1,85,0,0,2,0,0,1,1,1,0
4,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1567.309028,2810.000000,2810.000000,0.584337,1.798681,8.578662,22.419142,9493,129909,600.000000,95,14,0,GUROBI,1,85,0,0,7,0,0,1,1,1,0
5,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1528.103448,2735.000000,2735.000000,0.575908,1.463853,14.315845,28.945980,12179,163676,600.000000,95,14,0,GUROBI,1,85,0,0,2,0,0,1,1,1,0
6,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1518.000000,2810.000000,2810.000000,0.567789,1.219470,8.412771,14.574614,7052,78494,600.000000,95,14,0,GUROBI,1,85,0,0,0,0,0,1,1,1,0
7,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1518.000000,2765.000000,2765.000000,0.578374,1.419818,37.319235,37.319448,21070,233451,600.000000,95,14,0,GUROBI,1,85,0,0,0,0,0,1,1,1,0
8,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1528.333333,2810.000000,2810.000000,0.574180,1.216830,7.851175,11.749963,6131,71672,600.000000,95,14,0,GUROBI,1,85,0,0,0,0,0,1,1,1,0
9,0,NoBasis,64,1415.000000,1425.000000,1415.000000,1544.184598,2810.000000,2810.000000,0.580469,1.457632,9.479651,21.452181,13415,125699,600.000000,95,14,0,GUROBI,1,85,0,0,6,0,0,1,1,1,0
