instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,87.576118,87.950349,87.859673,89.367185,91.000000,91.000000,169.209942,173.241260,201.463150,201.463876,834,61892,600.000000,4,295,295,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoMatrix,4,90.119666,90.491827,90.119666,91.785303,95.000000,95.000000,0.709421,4.994879,182.757919,182.758661,9249,574921,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
10,0,NoMatrix,4,92.355859,92.821683,92.355859,94.498752,96.000000,96.000000,0.772409,4.245322,20.568329,22.458320,989,55899,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
2,0,NoMatrix,4,87.583476,87.975006,87.865311,90.790540,93.000000,93.000000,0.500940,3.973494,18.742564,29.617218,1174,63517,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
3,0,NoMatrix,4,87.287799,87.449241,87.287799,89.236974,91.000000,91.000000,0.576627,3.811671,7.914852,20.791326,571,34285,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
4,0,NoMatrix,4,90.428010,90.866103,90.428010,92.963819,97.000000,97.000000,0.766750,5.010767,158.752412,189.904762,6864,575200,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
5,0,NoMatrix,4,88.839706,88.992460,88.839706,91.419591,95.000000,95.000000,0.726523,4.765413,159.080017,159.080703,8918,563043,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
6,0,NoMatrix,4,87.576118,87.950349,87.859673,89.123639,91.000000,91.000000,0.770305,4.113569,19.363226,28.182763,967,59924,600.000000,4,295,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
7,0,NoMatrix,4,93.414925,93.805731,93.434100,95.012036,98.000000,98.000000,0.678325,3.761263,78.465499,79.051013,7510,319071,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
8,0,NoMatrix,4,88.672807,88.966789,88.756246,90.576239,93.000000,93.000000,0.650433,4.005573,19.944511,43.091561,2777,148263,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
9,0,NoMatrix,4,94.451038,94.756250,94.451038,96.824357,100.000000,100.000000,0.756592,4.508809,82.292887,82.293480,3411,241348,600.000000,4,295,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
