instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,192.000000,192.000000,192.000000,1556.485249,1600.000000,1600.000000,2.007925,2.124596,39.222646,62.615985,28489,398465,600.000000,65,6,87,GUROBI,1,28,0,0,0,0,0,0,0,0,0
1,0,Matrix,64,192.000000,192.000000,192.000000,487.697008,975.000000,975.000000,0.113644,0.373365,462.558059,505.965430,118629,2409771,600.000000,65,6,0,GUROBI,1,20,0,8,37,6,0,0,1,0,0
10,0,Matrix,64,195.333333,195.333333,195.333333,1174.628180,1479.000000,1479.000000,0.130950,0.351523,0.600577,0.607560,416,4730,600.000000,65,6,0,GUROBI,1,22,6,12,31,6,0,0,1,0,0
2,0,Matrix,64,192.000000,192.000000,192.000000,1222.237940,1337.000000,1337.000000,0.116819,0.285092,0.331087,0.332467,62,1017,600.000000,65,6,0,GUROBI,1,15,0,13,37,6,0,0,1,0,0
3,0,Matrix,64,326.000000,466.000000,326.000000,1169.795498,1652.500000,1652.500000,0.124379,0.360297,1.051115,2.128904,2261,29859,600.000000,65,6,0,GUROBI,1,59,31,0,6,6,0,0,1,0,0
4,0,Matrix,64,192.000000,192.000000,192.000000,431.183617,687.500000,933.000000,0.109671,0.429542,600.111146,600.111295,143587,2730400,600.000000,65,6,0,GUROBI,1,15,0,13,37,6,0,0,1,0,0
5,0,Matrix,64,193.000000,193.000000,193.000000,537.681507,896.000000,1052.000000,0.108688,0.434649,302.337930,600.110216,130906,2583799,600.000000,65,6,0,GUROBI,1,23,0,5,37,4,0,0,1,0,0
6,0,Matrix,64,192.000000,192.000000,192.000000,684.147446,1016.000000,1016.000000,0.116287,0.356946,7.623773,7.665855,4737,78484,600.000000,65,6,0,GUROBI,1,22,0,6,37,6,0,0,1,0,0
7,0,Matrix,64,236.000000,236.000000,236.000000,1189.850775,1287.000000,1287.000000,0.121266,0.307924,0.355892,0.363413,100,1333,600.000000,65,6,0,GUROBI,1,25,5,8,32,6,0,0,1,0,0
8,0,Matrix,64,219.000000,281.000000,219.000000,1265.227538,1823.500000,1823.500000,0.129748,0.350281,1.955975,2.076712,2717,26928,600.000000,65,6,0,GUROBI,1,63,35,0,2,6,0,0,1,0,0
9,0,Matrix,64,192.000000,192.000000,192.000000,566.044787,939.333333,939.333333,0.125030,0.426666,23.180380,23.180516,12249,210777,600.000000,65,6,0,GUROBI,1,21,1,8,36,6,0,0,1,0,0
