instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,192.000000,192.000000,192.000000,1555.208127,1600.000000,1600.000000,1.781903,1.944149,59.381727,59.381876,21292,320918,600.000000,65,6,87,GUROBI,1,28,0,0,0,0,0,0,0,0,0
1,0,New,64,191.937569,191.937569,191.937569,1548.615509,1593.312500,1593.437500,1.178797,1.283370,96.929334,96.929504,37485,633214,600.000000,64,8,86,GUROBI,1,27,0,0,0,0,0,0,0,0,0
10,0,New,64,191.937875,191.937875,191.937875,1552.730431,1599.875000,1600.000000,1.036713,1.135057,18.373270,68.290552,27183,410495,600.000000,64,7,87,GUROBI,1,27,0,0,0,0,0,0,0,0,0
2,0,New,64,191.937844,192.000000,191.937844,1555.140027,1598.437500,1598.562500,1.002621,1.235496,126.976418,126.976605,50821,819931,600.000000,66,6,88,GUROBI,1,30,0,0,0,0,0,0,0,0,0
3,0,New,64,191.937713,192.000000,191.937713,1556.048440,1599.812500,1599.937500,0.995854,1.200278,75.146357,75.146519,33784,498888,600.000000,65,6,86,GUROBI,1,28,0,0,0,0,0,0,0,0,0
4,0,New,64,195.250000,195.250000,195.250000,1568.250723,1612.250000,1612.375000,0.987672,1.090704,44.076570,96.635382,38145,600004,600.000000,64,6,86,GUROBI,1,27,0,0,0,0,0,0,0,0,0
5,0,New,64,191.813050,191.875238,191.813050,1554.744424,1599.750000,1599.875000,1.076296,1.174603,81.958837,81.959002,30989,471034,600.000000,66,7,89,GUROBI,1,30,0,0,0,0,0,0,0,0,0
6,0,New,64,192.687800,192.750000,192.687800,1559.615176,1605.125000,1605.250000,0.967691,1.064681,78.265397,78.265570,31038,483845,600.000000,65,6,87,GUROBI,1,28,0,0,0,0,0,0,0,0,0
7,0,New,64,193.875100,193.875100,193.875100,1557.141267,1604.125000,1604.250000,1.031622,1.125668,44.447436,69.164245,31125,426860,600.000000,64,7,87,GUROBI,1,27,0,0,0,0,0,0,0,0,0
8,0,New,64,190.937500,190.937500,190.937500,1549.193319,1594.687500,1594.812500,0.991059,1.141080,50.418859,69.977049,27914,424217,600.000000,65,6,87,GUROBI,1,28,0,0,0,0,0,0,0,0,0
9,0,New,64,191.812556,191.812556,191.812556,1556.062196,1599.937500,1599.937500,0.989336,1.139877,33.553449,60.047287,24811,380226,600.000000,64,6,85,GUROBI,1,27,0,0,0,0,0,0,0,0,0
