instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,192.000000,192.000000,192.000000,1554.453170,1600.000000,1600.000000,0.522398,0.663551,65.360943,85.689517,30331,494679,600.000000,4,2,87,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoTerm,4,193.000000,193.000000,193.000000,364.254622,652.000000,820.000000,0.006394,0.355763,79.658475,600.008871,130442,2431607,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
10,0,NoTerm,4,192.000000,192.000000,192.000000,395.201502,621.000000,930.000000,0.006366,0.490503,315.840665,600.007733,130876,2097791,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
2,0,NoTerm,4,192.000000,192.000000,192.000000,384.705325,674.000000,789.000000,0.006379,0.365241,413.827143,600.007613,136422,2322295,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
3,0,NoTerm,4,192.000000,192.000000,192.000000,408.613707,626.000000,972.000000,0.006319,0.447637,600.007228,600.007367,122685,2017184,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
4,0,NoTerm,4,192.000000,192.000000,192.000000,532.726262,646.000000,1021.000000,0.011815,0.211485,344.518284,600.013056,95005,2093143,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
5,0,NoTerm,4,192.000000,192.000000,192.000000,518.254114,654.000000,979.000000,0.010730,0.346154,521.444107,600.011826,80213,1985168,600.000000,4,2,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
6,0,NoTerm,4,194.000000,194.000000,194.000000,389.274857,706.000000,882.000000,0.008149,0.270178,600.010716,600.010870,149551,2294719,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
7,0,NoTerm,4,209.000000,209.000000,209.000000,555.033216,835.000000,835.000000,0.006825,0.272288,208.533773,261.096385,49323,1175493,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
8,0,NoTerm,4,192.000000,192.000000,192.000000,360.173939,629.000000,814.000000,0.006620,0.600166,231.500613,600.016058,126637,2560569,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
9,0,NoTerm,4,193.000000,193.000000,193.000000,383.449353,765.000000,765.000000,0.006588,0.398864,496.215821,533.437586,96934,2247162,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,0,1
