instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,192.000000,192.000000,192.000000,1556.448850,1600.000000,1600.000000,0.974621,1.084522,14.015791,45.891969,19034,272260,600.000000,65,6,87,GUROBI,1,28,0,0,0,0,0,0,0,0,0
1,0,Matrix,64,204.000000,204.000000,204.000000,399.097585,613.000000,613.000000,0.114046,0.359088,12.147888,13.440208,5677,130991,600.000000,65,6,0,GUROBI,1,26,0,2,37,0,0,0,1,0,0
10,0,Matrix,64,222.000000,222.000000,222.000000,516.778547,869.000000,869.000000,0.125729,0.324267,61.611906,121.729423,34081,780622,600.000000,65,6,0,GUROBI,1,27,0,1,37,0,0,0,1,0,0
2,0,Matrix,64,238.000000,254.000000,238.000000,580.193367,857.000000,857.000000,0.116971,0.368527,7.962992,9.030321,5191,108425,600.000000,65,6,0,GUROBI,1,27,0,1,37,0,0,0,1,0,0
3,0,Matrix,64,217.000000,217.000000,217.000000,528.465029,789.000000,789.000000,0.116972,0.341412,6.391201,10.661298,4614,106002,600.000000,65,6,0,GUROBI,1,28,0,0,37,0,0,0,1,0,0
4,0,Matrix,64,197.000000,209.000000,197.000000,755.889779,1057.000000,1057.000000,0.117381,0.273553,8.905256,8.905353,4135,96227,600.000000,65,6,0,GUROBI,1,25,0,3,37,0,0,0,1,0,0
5,0,Matrix,64,208.000000,208.000000,208.000000,715.598207,1025.000000,1025.000000,0.133350,0.348411,1.298988,1.487921,1322,21962,600.000000,65,6,0,GUROBI,1,24,0,4,37,0,0,0,1,0,0
6,0,Matrix,64,193.000000,193.000000,193.000000,485.156777,814.000000,814.000000,0.120272,0.355763,84.402911,96.387419,26937,646481,600.000000,65,6,0,GUROBI,1,28,0,0,37,0,0,0,1,0,0
7,0,Matrix,64,206.000000,206.000000,206.000000,511.883023,878.000000,878.000000,0.125171,0.350542,80.831184,80.831448,21341,497910,600.000000,65,6,0,GUROBI,1,28,0,0,37,0,0,0,1,0,0
8,0,Matrix,64,219.000000,219.000000,219.000000,606.621816,770.000000,770.000000,0.119558,0.275083,0.878826,0.890472,802,11083,600.000000,65,6,0,GUROBI,1,22,0,6,37,0,0,0,1,0,0
9,0,Matrix,64,211.000000,217.000000,211.000000,516.868833,738.000000,738.000000,0.126448,0.314690,9.780492,11.559747,6246,125989,600.000000,65,6,0,GUROBI,1,26,0,2,37,0,0,0,1,0,0
