instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,4,-14653654.824261,-14653654.824261,-14653654.824261,-14625792.761182,-14612192.025199,-14610731.000000,0.000003,0.249921,157.974746,353.484655,191978,1828077,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,4,-10136112.093914,-10136112.093914,-10136112.093914,-10105854.556441,-9935782.817223,-9934789.378711,0.000003,0.549755,12.992176,15.533247,7258,126298,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,4,-11721220.884075,-11721220.884075,-11721220.884075,-11664812.841677,-11568181.333300,-11568181.333333,0.000003,0.344179,6.926182,6.926927,3561,59622,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,4,-5758300.286053,-5758300.286053,-5758300.286053,-5491557.021623,-5203755.844146,-5203532.128399,0.000002,0.591521,7.198669,7.438280,1648,46661,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,4,-9489587.762693,-9489587.762693,-9489587.762693,-9390136.014682,-9295020.591664,-9294138.866289,0.000003,0.559012,5.531673,5.532452,1000,29641,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,4,-7221232.743349,-7221232.743349,-7221232.743349,-6782001.087703,-6608164.173434,-6607686.878279,0.000002,0.574421,3.509030,3.541038,972,14617,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,4,-8050045.649720,-8050045.649720,-8050045.649720,-7878770.447015,-7695775.199739,-7695775.200007,0.000002,0.666768,6.391450,6.391632,733,34113,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,4,-7558945.235935,-7558945.235935,-7558945.235935,-7345814.514514,-6929947.493478,-6929427.870302,0.000003,0.570321,8.736498,8.829720,2511,70796,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,4,-9795940.079884,-9795940.079884,-9795940.079884,-9598733.410870,-9320499.257244,-9319918.322449,0.000003,0.517406,12.566790,12.566966,3108,89126,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,4,-6561730.289517,-6561730.289517,-6561730.289517,-6453055.964803,-6185574.498160,-6185001.492318,0.000002,0.428763,2.121724,2.122291,660,12632,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,4,-11351833.927470,-11351833.927470,-11351833.927470,-11241309.711606,-11120222.952152,-11119117.015495,0.000002,0.519237,29.588216,42.995251,26099,363983,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
