instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,479.138796,481.351423,479.856747,480.574779,492.468064,492.514432,43.189143,45.619410,81.407999,93.161852,11580,270246,600.000000,64,22,22,GUROBI,1,14,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,64,479.138796,481.351423,479.856747,480.600533,492.470560,492.514449,1.831506,4.562960,30.972777,35.127860,5466,148422,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
10,0,NoDisjunction,64,479.138796,481.351423,479.856747,480.592933,492.466554,492.514449,1.156803,3.801021,39.839772,41.161015,9050,199830,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
2,0,NoDisjunction,64,179.571448,181.351423,179.908759,180.795068,192.497704,192.514449,1.512417,3.881156,27.111627,27.112022,5930,128322,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
3,0,NoDisjunction,64,479.138796,481.351423,479.856747,480.680617,492.470218,492.514449,1.144072,3.418266,20.419275,40.841193,7382,162297,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
4,0,NoDisjunction,64,479.138796,481.351423,479.856747,480.592933,492.467952,492.514426,1.142782,3.760324,39.983641,39.984084,7439,173358,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
5,0,NoDisjunction,64,-1919.176996,-1918.382336,-1919.176996,-1913.091152,-1900.996939,-1900.818255,3.850055,6.173711,13.526227,13.564293,1493,26260,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
6,0,NoDisjunction,64,-1893.843136,-1892.685906,-1893.843136,-1892.247566,-1880.835524,-1880.787083,4.533593,7.699801,13.588998,15.776425,1248,20900,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
7,0,NoDisjunction,64,479.138796,481.351423,479.856747,480.592933,492.469968,492.514449,1.177545,3.832722,34.517710,34.518121,6924,163241,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
8,0,NoDisjunction,64,479.430847,481.618623,480.146981,480.965857,492.753274,492.794449,1.648129,4.263128,23.310668,31.830018,4854,114343,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
9,0,NoDisjunction,64,475.425801,477.437626,475.878455,476.887928,489.461503,489.508110,1.817664,5.021029,35.889972,40.683428,9086,194280,600.000000,64,22,0,GUROBI,1,14,0,0,1,0,0,0,1,1,1
