instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,23.260000,23.260000,23.260000,23.260000,54.720000,54.760000,27.822817,28.203115,627.824510,627.824781,669650,5877608,600.000000,83,9,43,GUROBI,1,69,0,0,0,0,0,0,0,0,0
1,0,Basis,64,0.000000,0.000000,0.000000,107.917518,140.784010,140.784010,1.031124,1.868736,20.104310,20.104551,1927,90472,600.000000,83,9,0,GUROBI,1,69,13,13,1,9,0,0,0,0,1
10,0,Basis,64,0.000000,0.000000,0.000000,78.785494,85.452869,85.452869,0.903254,1.398401,1.800852,2.062175,235,10891,600.000000,83,9,0,GUROBI,1,63,11,17,3,9,0,0,0,0,1
2,0,Basis,64,0.000000,0.000000,0.000000,51.800504,70.986671,70.989763,1.097927,1.870007,48.253226,48.253461,8013,438342,600.000000,83,9,0,GUROBI,1,66,9,12,5,9,0,0,0,0,1
3,0,Basis,64,0.000000,0.000000,0.000000,31.097431,43.635370,43.639054,1.028376,2.294242,257.722732,257.723100,23218,1361668,600.000000,83,9,0,GUROBI,1,63,10,16,4,9,0,0,0,0,1
4,0,Basis,64,0.000000,0.000000,0.000000,85.529836,167.775422,167.781356,1.061890,1.521217,97.218731,97.219041,11971,570835,600.000000,83,9,0,GUROBI,1,71,11,9,3,9,0,0,0,0,1
5,0,Basis,64,0.000000,0.000000,0.000000,96.548807,159.860617,159.875026,0.997631,1.926293,412.288172,413.079881,34415,2570583,600.000000,83,9,0,GUROBI,1,80,11,0,3,9,0,0,0,0,1
6,0,Basis,64,0.000000,0.000000,0.000000,81.082861,105.896013,105.896013,1.046363,1.926151,29.459306,29.488019,4247,233417,600.000000,83,9,0,GUROBI,1,78,9,0,5,9,0,0,0,0,1
7,0,Basis,64,0.000000,0.000000,0.000000,265.445325,443.201427,443.201427,1.078585,1.546230,6.988964,6.989298,1394,51486,600.000000,83,9,0,GUROBI,1,80,11,0,3,9,0,0,0,0,1
8,0,Basis,64,0.000000,0.000000,0.000000,67.786087,81.119214,81.119214,0.890771,1.583631,27.661586,39.779490,7456,325619,600.000000,83,9,0,GUROBI,1,78,9,0,5,9,0,0,0,0,1
9,0,Basis,64,0.000000,0.000000,0.000000,38.925114,57.419345,57.424785,1.096986,1.778150,43.962464,50.829979,7677,343109,600.000000,83,9,0,GUROBI,1,78,9,0,5,9,0,0,0,0,1
