instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,23.260000,23.260000,23.260000,23.260000,54.750000,54.760000,1.285826,1.582025,601.287579,601.287796,716411,5503892,600.000000,4,22,43,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.760000,54.760000,0.017501,0.418028,33.130761,180.060154,188525,1722416,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
10,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.760000,54.760000,0.019906,0.408572,34.273391,339.835354,319788,3275166,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
2,0,NoMatrix,4,22.260000,22.260000,22.260000,22.260000,53.830000,53.830000,0.024181,0.472926,50.780573,97.993830,62900,766266,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
3,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.760000,54.760000,0.021526,0.440528,257.179096,257.179359,225032,2109791,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
4,0,NoMatrix,4,22.260000,22.260000,22.260000,22.260000,53.480000,53.760000,0.024563,0.404681,600.038611,600.038937,413678,5127066,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
5,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.690000,54.760000,0.022973,0.555997,600.024657,600.024900,590065,5080147,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
6,0,NoMatrix,4,22.260000,22.260000,22.260000,22.260000,53.820000,53.830000,0.025325,0.295479,600.027146,600.027415,616769,5054200,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
7,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.610000,54.760000,0.025474,0.529570,600.027138,600.027386,438792,5604554,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
8,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.560000,54.760000,0.024873,0.405297,53.615921,600.039791,562509,6089471,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
9,0,NoMatrix,4,23.260000,23.260000,23.260000,23.260000,54.740000,54.760000,0.027099,0.773428,600.028817,600.029103,588983,5440194,600.000000,4,22,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
