instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,23.260000,23.260000,23.260000,23.260000,54.740000,54.760000,29.126991,29.565359,629.128993,629.129256,534117,5338350,600.000000,83,9,43,GUROBI,1,69,0,0,0,0,0,0,0,0,0
1,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.760000,54.760000,0.356722,0.816045,24.086001,116.233632,86792,869416,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
10,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.640000,54.760000,0.342582,0.682382,600.344369,600.344726,599522,4926019,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
2,0,Farkas,64,22.260000,22.260000,22.260000,22.260000,53.830000,53.830000,0.448539,0.788486,85.874049,85.874456,47438,621405,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
3,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.710000,54.760000,0.346776,0.825555,600.348643,600.349025,716378,5348091,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
4,0,Farkas,64,22.260000,22.260000,22.260000,22.260000,53.570000,53.760000,0.495456,0.973595,600.501745,600.502172,566157,4734600,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
5,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.700000,54.760000,0.340129,0.874432,600.341941,600.342348,624995,6515324,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
6,0,Farkas,64,22.260000,22.260000,22.260000,22.260000,53.830000,53.830000,0.515582,1.291452,24.004320,43.690615,30723,292054,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
7,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.690000,54.760000,0.345887,0.838525,600.347766,600.348200,432039,5809953,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
8,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.440000,54.760000,0.347463,0.793553,600.349161,600.349570,349416,5274740,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
9,0,Farkas,64,23.260000,23.260000,23.260000,23.260000,54.710000,54.760000,0.349260,0.761400,600.351143,600.351581,548233,4551357,600.000000,83,9,0,GUROBI,1,69,0,0,0,0,0,0,0,0,0
