instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,23.260000,23.260000,23.260000,23.260000,54.620000,54.760000,29.745720,29.999059,629.747316,629.747612,704759,5919123,600.000000,83,9,43,GUROBI,1,69,0,0,0,0,0,0,0,0,0
1,0,NoBasis,64,52.800000,52.800000,52.800000,85.826235,92.150000,92.150000,0.464895,1.104389,2.693660,2.872244,632,13528,600.000000,83,9,0,GUROBI,1,69,0,0,14,0,0,1,1,1,0
10,0,NoBasis,64,34.130000,34.130000,34.130000,34.130000,64.010000,64.010000,0.392998,0.705329,15.706789,29.683473,22897,181635,600.000000,83,9,0,GUROBI,1,69,0,0,14,0,0,1,1,1,0
2,0,NoBasis,64,39.160000,39.160000,39.160000,39.160000,67.070000,67.140000,0.391851,0.637812,29.018129,600.394179,480130,5468669,600.000000,83,9,0,GUROBI,1,69,0,0,14,0,0,1,1,1,0
3,0,NoBasis,64,39.090000,39.090000,39.090000,39.090000,69.800000,69.800000,0.466778,1.006024,18.679089,18.695197,15570,118563,600.000000,83,9,0,GUROBI,1,48,2,23,12,0,0,1,1,1,0
4,0,NoBasis,64,19.350000,19.350000,19.350000,19.350000,53.330000,53.760000,0.427930,0.796684,600.429840,600.430243,1363910,5730508,600.000000,83,9,0,GUROBI,1,69,0,0,14,0,0,1,1,1,0
5,0,NoBasis,64,20.360000,20.360000,20.360000,20.360000,50.970000,50.970000,0.458195,1.015168,41.409463,127.409236,117845,1191269,600.000000,83,9,0,GUROBI,1,57,11,23,3,0,0,1,1,1,0
6,0,NoBasis,64,27.620000,27.620000,27.620000,59.825677,64.080000,64.080000,0.428882,1.432333,10.520741,16.284735,7332,128141,600.000000,83,9,0,GUROBI,1,70,1,0,13,0,0,1,1,1,0
7,0,NoBasis,64,30.120000,30.120000,30.120000,30.120000,39.980000,39.980000,0.401599,0.716053,1.082272,7.205851,626,52082,600.000000,83,9,0,GUROBI,1,71,2,0,12,0,0,1,1,1,0
8,0,NoBasis,64,8.147500,8.147500,8.147500,42.685810,45.530000,45.600000,0.427134,1.441065,600.429024,600.429433,517161,4427445,600.000000,83,9,0,GUROBI,1,78,9,0,5,0,0,1,1,1,0
9,0,NoBasis,64,35.370000,35.370000,35.370000,35.370000,60.510000,61.020000,0.385792,0.766209,600.387609,600.388038,612674,5668745,600.000000,83,9,0,GUROBI,1,70,1,0,13,0,0,1,1,1,0
