instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,429.000000,429.000000,429.000000,443.795455,446.000000,446.000000,0.000003,0.108375,0.000003,0.114031,1,1138,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,425.000000,425.000000,425.000000,427.459239,433.000000,433.000000,0.000004,0.323167,43.640719,47.210098,16913,524682,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,431.000000,431.000000,431.000000,440.694915,451.000000,451.000000,0.000002,0.182057,0.662381,1.649663,1723,23710,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,430.666667,430.666667,430.666667,437.361263,445.000000,445.000000,0.000004,0.233107,21.248929,22.301270,8815,290437,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,433.000000,433.000000,433.000000,437.000000,450.000000,450.000000,0.000005,0.185675,6.104167,6.123709,3321,75767,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,432.000000,432.000000,432.000000,435.292208,441.000000,441.000000,0.000002,0.166010,0.966157,0.984693,1043,14593,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,435.000000,435.000000,435.000000,439.000000,441.000000,441.000000,0.000002,0.250149,2.221946,2.409416,1347,32523,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,425.000000,425.000000,425.000000,430.000000,439.000000,439.000000,0.000003,0.168427,9.947743,11.800559,3425,142094,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,434.533333,434.533333,434.533333,441.000000,446.000000,446.000000,0.000002,0.296848,2.414164,2.445800,2516,29557,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,429.666667,429.666667,429.666667,437.000000,443.000000,443.000000,0.000004,0.208382,1.256525,2.943252,1546,37250,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,431.000000,431.000000,431.000000,437.119875,444.000000,444.000000,0.000001,0.266590,5.486334,6.756744,2361,75826,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
