instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,0.000681,0.001148,0.000738,0.142610,0.149988,0.150003,0.676260,1.784724,4.427162,5.243910,2027,27383,600.000000,4,13,171,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Farkas,4,0.007791,0.008250,0.007797,0.158624,0.164494,0.164494,0.049062,1.174313,2.628513,2.628675,670,9352,600.000000,4,13,0,GUROBI,1,0,0,0,4,5,0,0,0,0,0
10,0,Farkas,4,0.000682,0.001148,0.000738,0.114005,0.149997,0.150009,0.047773,1.072764,7.997676,7.997839,2679,38589,600.000000,4,13,0,GUROBI,1,0,0,0,4,4,0,0,0,0,0
2,0,Farkas,4,0.007684,0.008146,0.007691,0.152161,0.161533,0.161549,0.050521,0.564139,9.032171,9.685724,4291,65806,600.000000,4,13,0,GUROBI,1,0,0,0,4,10,0,0,0,0,0
3,0,Farkas,4,0.000899,0.001408,0.000952,0.119175,0.150001,0.150010,0.036063,0.846811,5.739708,6.444070,2163,31563,600.000000,4,13,0,GUROBI,1,0,0,0,4,13,0,0,0,0,0
4,0,Farkas,4,0.001450,0.001815,0.001503,0.141321,0.166529,0.166544,0.036134,1.006531,5.318334,5.776755,1911,33638,600.000000,4,13,0,GUROBI,1,0,0,0,3,0,0,0,0,0,0
5,0,Farkas,4,0.000704,0.001147,0.000757,0.140004,0.150513,0.150521,0.038274,0.627033,4.630105,4.630279,3451,27079,600.000000,4,13,0,GUROBI,1,0,0,0,4,0,0,0,0,0,0
6,0,Farkas,4,0.007694,0.008153,0.007701,0.127411,0.151873,0.151873,0.039512,1.089297,4.883042,5.009089,687,13668,600.000000,4,13,0,GUROBI,1,0,0,0,4,11,0,0,0,0,0
7,0,Farkas,4,0.000953,0.001370,0.001006,0.141505,0.181794,0.181806,0.029234,1.157620,10.712478,10.712686,4454,61782,600.000000,4,13,0,GUROBI,1,0,0,0,3,0,0,0,0,0,0
8,0,Farkas,4,0.000898,0.001368,0.000954,0.117433,0.149698,0.149700,0.041770,1.274044,9.069631,9.727083,2690,46584,600.000000,4,13,0,GUROBI,1,0,0,0,4,0,0,0,0,0,0
9,0,Farkas,4,0.000683,0.001169,0.000692,0.142264,0.150010,0.150018,0.032494,0.713718,2.885329,2.885502,1473,18447,600.000000,4,13,0,GUROBI,1,0,0,0,3,10,0,0,0,0,0
