instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,0.000681,0.001148,0.000738,0.137744,0.149989,0.150003,0.670894,1.563872,6.733879,6.734068,1993,25369,600.000000,4,13,171,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoMatrix,4,0.007791,0.008250,0.007797,0.158770,0.164490,0.164494,0.051733,0.738490,1.756405,1.756590,657,9499,600.000000,4,13,0,GUROBI,1,0,0,0,4,5,0,1,0,1,1
10,0,NoMatrix,4,0.000682,0.001148,0.000738,0.110570,0.149995,0.150009,0.047547,0.802494,8.809943,8.810127,1842,27013,600.000000,4,13,0,GUROBI,1,0,0,0,4,4,0,1,0,1,1
2,0,NoMatrix,4,0.007684,0.008146,0.007691,0.154212,0.161534,0.161549,0.049970,0.615496,10.847034,11.608977,6280,100291,600.000000,4,13,0,GUROBI,1,0,0,0,4,10,0,1,0,1,1
3,0,NoMatrix,4,0.000899,0.001408,0.000952,0.132044,0.149996,0.150010,0.037072,1.015082,3.401125,3.754950,2647,32220,600.000000,4,13,0,GUROBI,1,0,0,0,4,13,0,1,0,1,1
4,0,NoMatrix,4,0.001450,0.001815,0.001503,0.141817,0.166535,0.166544,0.299647,1.441714,5.492776,5.492960,2554,33833,600.000000,4,13,0,GUROBI,1,0,0,0,3,0,0,1,0,1,1
5,0,NoMatrix,4,0.000704,0.001147,0.000757,0.140836,0.150507,0.150521,0.038413,0.481084,4.625035,4.625238,2288,24562,600.000000,4,13,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
6,0,NoMatrix,4,0.007694,0.008153,0.007701,0.118223,0.151861,0.151873,0.041957,1.098842,6.007898,6.008081,944,19847,600.000000,4,13,0,GUROBI,1,0,0,0,4,11,0,1,0,1,1
7,0,NoMatrix,4,0.000953,0.001370,0.001006,0.141452,0.181806,0.181806,0.353465,1.487557,15.881840,15.882053,3328,53565,600.000000,4,13,0,GUROBI,1,0,0,0,3,0,0,1,0,1,1
8,0,NoMatrix,4,0.000898,0.001368,0.000954,0.123565,0.149693,0.149700,0.042342,1.151232,5.869493,5.869724,1527,24012,600.000000,4,13,0,GUROBI,1,0,0,0,4,0,0,1,0,1,1
9,0,NoMatrix,4,0.000683,0.001169,0.000695,0.143472,0.150005,0.150018,0.348419,0.960581,4.746255,4.948629,1162,15929,600.000000,4,13,0,GUROBI,1,0,0,0,3,10,0,1,0,1,1
