instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,0.000681,0.002176,0.001252,0.138423,0.149991,0.150003,415.754141,416.528965,421.110100,421.110313,1260,18044,600.000000,69,171,171,GUROBI,1,24,0,0,0,0,0,0,0,0,0
1,0,Disjunction,64,0.000681,0.002176,0.001252,0.134240,0.149989,0.150003,0.718140,1.267187,7.263261,7.263521,2199,31009,600.000000,69,171,0,GUROBI,1,24,0,0,1,0,3,1,0,0,0
10,0,Disjunction,64,0.000904,0.002398,0.001474,0.141859,0.150883,0.150893,0.712686,1.619123,1.930688,3.212064,1228,16956,600.000000,69,171,0,GUROBI,1,24,0,0,7,0,0,1,0,0,0
2,0,Disjunction,64,0.000681,0.002175,0.001252,0.139681,0.149990,0.150003,0.717738,1.470910,5.079096,5.486816,1129,16337,600.000000,69,171,0,GUROBI,1,24,0,0,39,0,3,1,0,0,0
3,0,Disjunction,64,0.002698,0.004186,0.003139,0.126315,0.151724,0.151736,0.765306,1.541336,4.146994,4.264403,2597,30787,600.000000,69,171,0,GUROBI,1,24,0,0,19,0,0,1,0,0,0
4,0,Disjunction,64,0.000794,0.002288,0.001364,0.138768,0.149988,0.150003,0.714027,1.512877,5.183772,6.482965,2257,33715,600.000000,69,171,0,GUROBI,1,24,0,0,4,0,3,1,0,0,0
5,0,Disjunction,64,0.000679,0.002176,0.001249,0.138830,0.149945,0.149952,0.703084,1.331214,3.227412,3.699207,1346,17121,600.000000,69,171,0,GUROBI,1,24,0,0,39,0,3,1,0,0,0
6,0,Disjunction,64,0.000794,0.002288,0.001364,0.139786,0.150108,0.150115,0.719560,1.452290,6.630918,6.631180,1854,30961,600.000000,69,171,0,GUROBI,1,24,0,0,12,0,0,1,0,0,0
7,0,Disjunction,64,0.000794,0.002288,0.001351,0.137805,0.150438,0.150453,0.683438,1.280142,4.190270,4.225218,2716,30602,600.000000,69,171,0,GUROBI,1,24,0,0,9,0,3,1,0,0,0
8,0,Disjunction,64,0.000681,0.002176,0.000852,0.139381,0.149988,0.150003,0.748483,1.363416,2.788914,3.389727,1941,23498,600.000000,69,171,0,GUROBI,1,24,0,0,19,0,3,1,0,0,0
9,0,Disjunction,64,0.000681,0.002176,0.001244,0.139921,0.149543,0.149553,0.720896,1.420613,2.978379,3.277365,1520,20003,600.000000,69,171,0,GUROBI,1,24,0,0,32,0,3,1,0,0,0
