instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,8.333333,8.333333,8.333333,13.380952,16.000000,16.000000,0.000003,1.712286,1.853671,13.093900,2857,62740,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,8.717949,8.717949,8.717949,14.000000,16.000000,16.000000,0.000004,1.041608,2.357391,4.654048,887,27887,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,8.176190,8.176190,8.176190,14.097674,17.000000,17.000000,0.000003,1.375810,4.414924,8.654209,1176,52579,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,10.000000,10.000000,10.000000,15.000000,16.000000,16.000000,0.000004,1.149724,1.206423,1.339172,8,4444,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,6.666667,6.666667,6.666667,11.631579,15.000000,15.000000,0.000004,1.330472,1.673286,28.561983,3551,128314,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,8.333333,8.333333,8.333333,13.000000,16.000000,16.000000,0.000004,1.235465,2.411553,6.815113,1107,42557,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,5.333333,5.333333,5.333333,11.014286,13.000000,13.000000,0.000003,0.867477,1.157176,6.073814,1503,34004,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,7.000000,7.000000,7.000000,12.096491,15.000000,15.000000,0.000003,1.727413,1.835222,8.888418,1605,40073,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,8.555556,8.555556,8.555556,13.184949,16.000000,16.000000,0.000003,1.953552,2.304140,8.108613,1737,35630,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,7.500000,7.500000,7.500000,13.125000,15.000000,15.000000,0.000004,1.169417,1.719002,5.870365,1489,38332,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,7.333333,7.333333,7.333333,12.109871,16.000000,16.000000,0.000005,1.634256,1.833944,138.637724,13271,525614,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
