instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,-16646.586017,-16491.988398,-16628.624437,-14367.353263,-14340.767550,-14339.353447,36.916143,38.134376,72.020082,92.333819,6173,212178,600.000000,64,3,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,All,64,-16811.369489,-16683.295009,-16811.243928,-14858.457631,-14840.965925,-14840.594335,0.916308,2.243524,4.130768,4.131234,182,9177,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
10,0,All,64,-17005.818299,-16904.483353,-17005.818299,-15183.086849,-15167.907813,-15166.399879,0.895158,2.526026,5.837679,6.664029,337,16974,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
2,0,All,64,-16996.854978,-16856.613163,-16996.788218,-15052.519536,-15034.174605,-15032.830623,0.889578,1.921332,3.528827,3.561813,108,6277,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
3,0,All,64,-17047.931952,-16917.872015,-17047.931952,-15238.138151,-15232.098462,-15230.607939,1.152100,2.753082,3.454117,3.763789,88,6598,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
4,0,All,64,-16798.674787,-16665.430800,-16798.674787,-14830.922212,-14810.777510,-14809.369563,0.910614,2.000809,2.772597,4.138769,172,8897,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
5,0,All,64,-16757.341949,-16606.318818,-16756.037993,-14796.326733,-14785.848161,-14784.389749,0.683576,1.905122,18.397516,18.508914,1276,55777,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
6,0,All,64,-16952.165524,-16825.276181,-16952.165524,-15082.936467,-15073.352155,-15072.011948,1.091929,1.927285,2.879483,2.931771,76,5458,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
7,0,All,64,-17093.112562,-16966.558872,-17093.112562,-15390.400704,-15386.640020,-15385.101668,1.099050,2.339784,4.022603,4.371364,157,8640,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
8,0,All,64,-16947.252777,-16802.979220,-16947.252777,-15154.700192,-15146.703024,-15145.215278,1.049104,2.496472,2.763239,2.775406,25,3974,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
9,0,All,64,-17087.159817,-16958.996036,-17087.159817,-15261.657510,-15257.386193,-15255.870219,1.273580,2.485685,4.541749,4.656867,197,9381,600.000000,64,3,0,GUROBI,1,0,0,0,64,3,0,1,1,1,1
