instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,-16646.586017,-16604.076548,-16632.927170,-14367.372270,-14340.737715,-14339.353447,2.591182,3.558010,61.896287,61.896651,7738,235124,600.000000,4,5,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,New,4,-16766.431156,-16726.859173,-16751.020837,-14448.954653,-14428.850182,-14427.410956,2.458622,3.455904,86.643486,88.558630,11176,393476,600.000000,4,3,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,New,4,-16776.160620,-16733.984147,-16758.304520,-14438.723818,-14410.587071,-14409.277394,2.457859,3.484691,65.497800,93.008499,9958,417914,600.000000,4,3,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,New,4,-16769.330570,-16735.340326,-16760.585169,-14441.905422,-14421.482644,-14420.042064,2.458920,3.384158,69.859077,69.859491,9831,300049,600.000000,4,3,87,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,New,4,-16832.120013,-16777.001782,-16825.361144,-14467.898030,-14445.025943,-14443.581638,2.464363,3.476110,65.028005,65.506968,8856,275949,600.000000,4,3,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,New,4,-16796.995887,-16745.452347,-16784.164038,-14449.653063,-14415.384843,-14413.949332,2.448770,3.460038,91.865683,91.866095,10928,372959,600.000000,4,3,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,New,4,-16859.250218,-16810.632075,-16843.409768,-14527.772349,-14505.949824,-14504.504099,2.454193,3.502001,62.824781,62.825182,8737,261708,600.000000,4,2,89,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,New,4,-16766.387770,-16716.686275,-16751.592263,-14470.861368,-14447.539100,-14446.098842,2.450516,3.509546,146.869761,148.264989,13165,475989,600.000000,4,3,87,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,New,4,-16759.648057,-16707.290626,-16733.279380,-14439.384711,-14425.172047,-14424.385440,2.565545,3.523914,53.295180,53.297601,5788,194895,600.000000,4,4,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,New,4,-16747.771948,-16705.366546,-16724.837030,-14440.747219,-14413.694892,-14412.368265,2.561370,3.698005,56.993151,56.993609,6753,225652,600.000000,4,4,88,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,New,4,-16776.989656,-16740.115574,-16765.049757,-14384.360640,-14368.847278,-14367.521271,2.460208,3.735039,12.886499,17.533241,1855,56974,600.000000,4,2,87,GUROBI,1,0,0,0,0,0,0,0,0,0,0
