instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,-11824.657382,-11535.368027,-11800.213600,-9169.857186,-8675.208947,-8674.342607,38.746117,39.897310,66.939380,69.077673,2033,76357,600.000000,64,2,93,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,64,-40207.665308,-39926.064677,-40184.659130,-36808.963279,-36365.774407,-36362.483374,0.505570,0.937696,18.044688,18.208364,898,38981,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
10,0,NoDisjunction,64,-35253.427702,-34945.654706,-35231.620773,-31972.726810,-31629.729686,-31626.876458,0.566801,1.124809,2.070314,4.826076,442,13791,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
2,0,NoDisjunction,64,-42012.120333,-41728.218439,-41989.662761,-38631.516085,-38347.820786,-38344.725525,0.511121,1.284612,4.758934,4.953524,318,11151,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
3,0,NoDisjunction,64,-33061.083401,-32770.129336,-33040.441643,-29817.038448,-29493.046333,-29490.172516,0.590497,1.415481,19.372242,19.979402,1144,49760,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
4,0,NoDisjunction,64,-29552.027340,-29267.944245,-29525.940365,-26436.495033,-26175.271022,-26173.617065,0.537179,1.326634,15.361160,15.363584,723,26659,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
5,0,NoDisjunction,64,-29300.290615,-29060.195819,-29278.925924,-26118.944218,-25836.756765,-25834.189157,0.524952,1.092103,26.971979,26.972452,1425,58535,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
6,0,NoDisjunction,64,-41738.405350,-41410.996685,-41714.976104,-38284.962341,-37783.991624,-37780.214752,0.529979,1.284338,17.373561,18.560492,1446,45091,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
7,0,NoDisjunction,64,-32371.719536,-32109.773804,-32348.466211,-29121.560979,-28917.872217,-28915.100109,0.516255,1.268721,11.832685,11.945076,716,24448,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
8,0,NoDisjunction,64,-32709.522810,-32429.804519,-32686.816362,-29378.223491,-29152.424517,-29150.377226,0.503108,1.415293,3.502182,3.909883,219,7127,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
9,0,NoDisjunction,64,-32929.821298,-32600.648141,-32907.251347,-29602.628938,-29300.553397,-29297.945466,0.506157,1.359393,7.790446,9.793811,742,22034,600.000000,64,2,0,GUROBI,1,0,0,0,0,0,0,0,1,1,1
