instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,-11824.657382,-11824.657382,-11824.657382,-9169.857186,-8675.208947,-8674.342607,0.000002,1.285260,28.910702,30.755922,2033,76357,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,-71999.900442,-71999.900442,-71999.900442,-68362.194197,-67947.878489,-67941.145271,0.000004,0.951440,1.488262,1.986378,174,5362,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,-55468.287503,-55468.287503,-55468.287503,-51777.070387,-51610.420743,-51605.437255,0.000003,0.851826,4.337585,7.808792,686,19091,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,-89882.612632,-89882.612632,-89882.612632,-86065.408231,-85664.646090,-85658.322252,0.000016,0.740475,5.586541,13.082018,857,36049,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,-61810.918952,-61810.918952,-61810.918952,-58251.361421,-57904.089936,-57903.296606,0.000002,0.704171,18.571456,18.573447,713,31550,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,-102006.807949,-102006.807949,-102006.807949,-97915.082581,-97740.284338,-97730.600354,0.000003,0.596682,10.773835,11.013456,830,23985,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,-91381.002309,-91381.002309,-91381.002309,-87750.396295,-87641.831976,-87633.205840,0.000003,0.803179,1.652776,2.075687,97,3594,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,-56558.781645,-56558.781645,-56558.781645,-52840.793824,-52587.559607,-52583.397802,0.000003,0.839149,2.677368,4.077570,285,9247,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,-78904.087053,-78904.087053,-78904.087053,-74800.499178,-74564.682196,-74557.330878,0.000003,0.991288,3.977001,9.523345,771,24660,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,-68253.220463,-68253.220463,-68253.220463,-64327.051891,-64212.323844,-64209.886680,0.000004,0.792504,17.165186,17.167334,908,29784,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,-87318.872889,-87318.872889,-87318.872889,-83494.966146,-83358.022316,-83349.878798,0.000003,0.787685,1.501975,1.652340,91,3041,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
