instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,-11824.657382,-11707.630837,-11816.289733,-9169.857186,-8675.208947,-8674.342607,2.406476,3.569058,30.146946,32.269334,2033,76357,600.000000,4,2,93,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoBasis,4,-11828.075298,-11706.314816,-11820.563083,-7885.048805,-7876.682872,-7875.896222,0.030056,1.167593,5.427763,5.527075,432,14294,600.000000,4,2,0,GUROBI,1,3,3,0,1,0,0,1,1,1,0
10,0,NoBasis,4,-11826.059864,-11739.257503,-11818.261436,-8289.450165,-8283.829459,-8283.829459,0.027063,0.653510,0.859877,1.091730,36,3730,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,1,0
2,0,NoBasis,4,-11820.646357,-11706.456766,-11812.290463,-8446.318314,-8424.973780,-8424.156685,0.028787,1.284879,4.395690,15.143715,1685,50595,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,1,0
3,0,NoBasis,4,-11820.724408,-11725.989011,-11813.217230,-7847.209260,-7790.056801,-7789.282371,0.030533,0.905109,72.431563,98.233487,11650,341434,600.000000,4,2,0,GUROBI,1,2,2,0,2,0,0,1,1,1,0
4,0,NoBasis,4,-11825.328262,-11704.152100,-11818.278149,-8281.939004,-8255.749476,-8254.971559,0.030309,1.223551,15.712920,19.140545,2645,77859,600.000000,4,2,0,GUROBI,1,3,3,0,1,0,0,1,1,1,0
5,0,NoBasis,4,-11827.977003,-11710.483329,-11820.149790,-7723.806921,-7656.159250,-7655.423345,0.030551,0.531239,2.756379,8.498601,2467,57465,600.000000,4,2,0,GUROBI,1,2,2,0,2,0,0,1,1,1,0
6,0,NoBasis,4,-11818.911185,-11696.264779,-11811.015682,-8299.164371,-8286.407846,-8285.635929,0.029830,1.685462,28.349633,28.352762,3002,99149,600.000000,4,2,0,GUROBI,1,3,3,0,1,0,0,1,1,1,0
7,0,NoBasis,4,-11823.762497,-11702.963911,-11815.613970,-7615.904500,-7593.843295,-7593.172618,0.029952,0.668498,17.163438,17.526995,1826,63011,600.000000,4,2,0,GUROBI,1,2,2,0,0,0,0,1,1,1,0
8,0,NoBasis,4,-11826.723369,-11733.512696,-11818.584915,-7567.339348,-7533.160716,-7532.413323,0.033586,0.701309,13.189715,24.331319,2990,83685,600.000000,4,2,0,GUROBI,1,0,0,0,4,0,0,1,1,1,0
9,0,NoBasis,4,-11828.108381,-11724.297187,-11820.179985,-7318.620525,-7187.409887,-7187.409887,0.031881,0.856338,1.021304,2.133948,157,6925,600.000000,4,2,0,GUROBI,1,2,2,0,2,0,0,1,1,1,0
