instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,-11824.657382,-11535.368027,-11800.213600,-9169.857186,-8675.208947,-8674.342607,38.513626,39.327635,54.787315,55.918153,2033,76357,600.000000,64,2,93,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,64,-11836.820578,-11536.371798,-11824.339440,-7666.559290,-7594.605945,-7594.004353,0.462108,0.891997,5.728656,5.729084,1678,34113,600.000000,64,2,0,GUROBI,1,58,58,0,6,0,0,0,1,1,1
10,0,NoDisjunction,64,-11861.848556,-11614.898003,-11849.949374,-8653.757205,-8652.115465,-8651.677550,0.464618,0.931557,1.076438,1.076926,37,2010,600.000000,64,2,0,GUROBI,1,55,55,0,9,0,0,0,1,1,1
2,0,NoDisjunction,64,-11824.316713,-11572.100687,-11812.896920,-7099.182499,-7098.479202,-7098.479202,0.468194,0.593796,0.596423,0.598665,1,512,600.000000,64,2,0,GUROBI,1,60,60,0,4,0,0,0,1,1,1
3,0,NoDisjunction,64,-11828.232876,-11563.741154,-11804.238625,-8134.170637,-8121.245595,-8120.539818,0.474939,1.089583,3.017711,3.018247,348,12542,600.000000,64,2,0,GUROBI,1,56,56,0,8,0,0,0,1,1,1
4,0,NoDisjunction,64,-11839.514195,-11591.985708,-11815.198811,-8501.363884,-8488.918427,-8488.294194,0.471023,0.890166,2.349527,2.350047,320,9031,600.000000,64,2,0,GUROBI,1,52,52,0,12,0,0,0,1,1,1
5,0,NoDisjunction,64,-11797.651219,-11506.152906,-11785.189070,-8414.538239,-8408.426013,-8408.426013,0.471990,1.223486,1.541311,1.541960,45,3819,600.000000,64,2,0,GUROBI,1,58,58,0,6,0,0,0,1,1,1
6,0,NoDisjunction,64,-11820.146176,-11521.097695,-11807.892900,-8148.348157,-8148.268219,-8148.109587,0.478633,1.154565,1.264637,1.267958,16,2439,600.000000,64,2,0,GUROBI,1,57,57,0,7,0,0,0,1,1,1
7,0,NoDisjunction,64,-11842.969165,-11536.178906,-11830.715888,-8334.762461,-8298.542131,-8297.834077,0.456697,1.258660,1.655545,2.609696,276,10031,600.000000,64,2,0,GUROBI,1,59,59,0,5,0,0,0,1,1,1
8,0,NoDisjunction,64,-11809.978294,-11495.964439,-11786.453477,-7923.016044,-7902.384204,-7902.141756,0.448369,1.090486,2.274560,3.147551,471,16307,600.000000,64,2,0,GUROBI,1,61,61,0,3,0,0,0,1,1,1
9,0,NoDisjunction,64,-11827.230250,-11505.513254,-11803.143103,-8424.813536,-8416.158464,-8415.324101,0.472021,0.941284,1.250503,2.178653,247,7102,600.000000,64,2,0,GUROBI,1,58,58,0,6,0,0,0,1,1,1
