instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,3157.377442,3180.305873,3180.305873,3472.201110,3663.663097,3664.000000,0.991906,1.437520,62.175117,62.175269,14406,483257,600.000000,4,13,17,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Matrix,4,2561.365173,2561.365173,2561.365173,2979.060589,3123.701203,3124.000000,0.016076,0.439003,24.938568,25.586464,8375,240294,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
10,0,Matrix,4,929.928230,929.928230,929.928230,1494.602142,1660.854667,1661.000000,0.020311,0.313240,15.443120,15.443448,5084,140730,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
2,0,Matrix,4,2481.997978,2492.081312,2492.081312,2906.836741,3094.695964,3095.000000,0.013040,0.290097,87.886282,90.310515,19013,583423,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
3,0,Matrix,4,2590.868131,2607.751438,2599.461079,3006.317064,3197.681999,3198.000000,0.016678,0.360772,22.718833,22.719010,6265,198597,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
4,0,Matrix,4,3013.632842,3074.089188,3046.966175,3363.579864,3559.681445,3560.000000,0.014343,0.388263,46.757543,55.371803,14683,437530,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
5,0,Matrix,4,2233.476912,2233.476912,2233.476912,2643.653105,2795.943445,2796.000000,0.013911,0.418897,21.323521,21.863991,5689,181702,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
6,0,Matrix,4,2778.458472,2781.946833,2778.458472,3177.893493,3371.703545,3372.000000,0.017408,0.274939,28.141738,36.713977,11524,346706,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
7,0,Matrix,4,2342.081652,2354.634253,2352.603013,2713.657811,2923.715742,2924.000000,0.017263,0.330420,19.426255,30.197250,8810,253151,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
8,0,Matrix,4,2827.738878,2846.271090,2835.162138,3247.300556,3311.875345,3312.000000,0.019463,0.331017,1.107202,1.197410,329,8688,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
9,0,Matrix,4,3001.971329,3024.037555,3016.039356,3288.709905,3503.668838,3504.000000,0.014362,0.283488,29.436590,41.750049,11488,392593,600.000000,4,13,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
