instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,2691.439469,2738.395926,2738.395926,3050.572832,3251.699114,3252.000000,0.783917,1.181791,20.321847,20.321997,7683,192974,600.000000,4,18,18,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoMatrix,4,2691.439469,2738.395926,2738.395926,3024.587832,3251.710454,3252.000000,0.008489,0.331627,17.849608,19.952105,6242,149200,600.000000,4,18,0,GUROBI,1,0,0,0,0,8,0,1,0,1,1
10,0,NoMatrix,4,2691.439469,2738.395926,2738.395926,3052.841975,3251.717169,3252.000000,0.009028,0.454401,21.666866,21.764688,8686,223411,600.000000,4,18,0,GUROBI,1,0,0,0,0,11,0,1,0,1,1
2,0,NoMatrix,4,2677.336294,2719.811402,2718.658976,3050.710686,3281.718750,3282.000000,0.013147,0.236354,22.440381,24.932800,9070,237588,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,1,0,1,1
3,0,NoMatrix,4,2692.013477,2738.395926,2738.395926,3075.206324,3251.685770,3252.000000,0.037769,0.341259,9.120044,9.176901,3059,78931,600.000000,4,18,0,GUROBI,1,0,0,0,1,18,0,1,0,1,1
4,0,NoMatrix,4,2643.236493,2689.618942,2685.790108,3055.251986,3251.722692,3252.000000,0.009510,0.462475,15.643432,20.053472,6043,149526,600.000000,4,18,0,GUROBI,1,0,0,0,4,18,0,1,0,1,1
5,0,NoMatrix,4,2691.439469,2739.527276,2738.522695,3044.547555,3252.000000,3252.000000,0.040087,0.455751,11.529585,11.529739,3984,98639,600.000000,4,18,0,GUROBI,1,0,0,0,1,9,0,1,0,1,1
6,0,NoMatrix,4,2694.873397,2738.395926,2738.395926,3056.013958,3251.750000,3252.000000,0.065597,0.470404,12.667946,12.668102,4484,114953,600.000000,4,18,0,GUROBI,1,0,0,0,2,11,0,1,0,1,1
7,0,NoMatrix,4,2704.823397,2752.297712,2750.343919,3064.502865,3251.736244,3252.000000,0.009495,0.466141,13.636086,14.794184,5314,136200,600.000000,4,18,0,GUROBI,1,0,0,0,4,18,0,1,0,1,1
8,0,NoMatrix,4,2692.706731,2741.694963,2740.477612,3057.443360,3270.680541,3271.000000,0.066266,0.597636,24.944494,28.217130,9447,215581,600.000000,4,18,0,GUROBI,1,0,0,0,2,12,0,1,0,1,1
9,0,NoMatrix,4,2701.707055,2747.783084,2743.535744,3079.848731,3251.691015,3252.000000,0.010672,0.297478,16.166418,16.543917,6576,156490,600.000000,4,18,0,GUROBI,1,0,0,0,4,16,0,1,0,1,1
