instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,2691.439469,2738.395926,2738.395926,3050.699173,3251.732523,3252.000000,1.006581,1.330964,23.525610,25.292509,10304,267536,600.000000,4,18,18,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Term,4,2756.432921,2793.274299,2791.758138,3086.423799,3307.701173,3308.000000,0.013005,0.231724,22.559921,22.905231,10774,276587,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
10,0,Term,4,2672.977900,2733.506327,2724.307459,3074.007942,3261.717488,3262.000000,0.011561,0.266992,5.090687,11.473584,5000,130639,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
2,0,Term,4,2700.654945,2745.421720,2729.795935,3045.116218,3246.680604,3247.000000,0.012139,0.352087,18.340938,19.488714,7984,214735,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
3,0,Term,4,2641.720421,2667.527701,2667.527701,2994.153364,3198.734245,3199.000000,0.009808,0.312010,15.778063,16.928045,7516,187461,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
4,0,Term,4,2709.626081,2735.796764,2735.276768,3048.311476,3225.832801,3226.000000,0.010115,0.257563,4.777523,4.777653,1807,44106,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
5,0,Term,4,2732.531136,2741.164469,2741.164469,3074.270942,3284.676974,3285.000000,0.013647,0.329245,14.203694,14.203835,6762,165620,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
6,0,Term,4,2687.704747,2711.979151,2711.428327,3036.845224,3233.858394,3233.999964,0.011163,0.321329,24.523708,24.525076,8179,226977,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
7,0,Term,4,2680.572802,2705.112665,2705.112665,3037.021489,3217.725455,3218.000000,0.016119,0.248282,12.759182,13.946412,6565,162473,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
8,0,Term,4,2633.746352,2633.746352,2633.746352,2976.894814,3173.733025,3174.000000,0.013392,0.254264,10.249564,14.214444,6076,154832,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
9,0,Term,4,2654.740324,2701.354792,2701.047831,3026.658505,3227.697156,3228.000000,0.010361,0.281953,12.554296,16.120510,6845,182936,600.000000,4,18,0,GUROBI,1,0,0,0,0,0,0,0,0,1,0
