instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,2691.439469,2847.575183,2834.251233,3041.210149,3251.720222,3252.000000,4.353068,5.364714,57.075288,58.751141,8073,206204,600.000000,64,18,18,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoTerm,64,2830.925519,2993.974581,2871.217361,4812.038201,4829.836684,4830.000000,0.145612,0.513309,0.555578,0.568643,21,1094,600.000000,64,18,0,GUROBI,1,52,52,0,12,0,0,1,1,0,1
10,0,NoTerm,64,3471.880594,3611.361150,3529.496373,5582.376267,5597.000000,5597.000000,0.146801,0.505675,0.553618,0.567981,7,859,600.000000,64,18,0,GUROBI,1,23,23,0,41,0,0,1,1,0,1
2,0,NoTerm,64,3111.036833,3246.429888,3154.682699,5674.287855,5740.000000,5740.000000,0.141561,0.620089,0.927441,0.988474,76,1605,600.000000,64,18,0,GUROBI,1,33,33,0,31,0,0,1,1,0,1
3,0,NoTerm,64,3047.124062,3171.632569,3050.426909,5164.001918,5220.569883,5221.000000,0.153068,0.798894,1.249586,1.255463,122,2733,600.000000,64,18,0,GUROBI,1,8,8,0,56,0,0,1,1,0,1
4,0,NoTerm,64,3662.676146,3804.732892,3705.981151,5715.836135,5722.000000,5722.000000,0.149036,0.687437,1.014087,1.015538,81,1286,600.000000,64,18,0,GUROBI,1,8,8,0,56,0,0,1,1,0,1
5,0,NoTerm,64,3509.465947,3637.053537,3524.000322,5436.921934,5444.000000,5444.000000,0.149407,0.833528,0.869317,0.872347,9,1035,600.000000,64,18,0,GUROBI,1,19,19,0,45,0,0,1,1,0,1
6,0,NoTerm,64,3332.958952,3509.317449,3395.178960,5402.622143,5440.000000,5440.000000,0.139630,0.541675,0.991836,1.051978,117,1765,600.000000,64,18,0,GUROBI,1,56,56,0,8,0,0,1,1,0,1
7,0,NoTerm,64,2830.124829,2976.436801,2854.070986,5216.335325,5238.923559,5239.000000,0.147937,0.724348,0.794429,0.800718,32,1207,600.000000,64,18,0,GUROBI,1,19,19,0,45,0,0,1,1,0,1
8,0,NoTerm,64,3653.627751,3788.636082,3691.033358,6271.854455,6275.000000,6275.000000,0.143718,0.446380,0.531670,0.532364,25,1188,600.000000,64,18,0,GUROBI,1,14,14,0,50,0,0,1,1,0,1
9,0,NoTerm,64,3272.909650,3418.764665,3324.059701,4991.019107,5146.000000,5146.000000,0.145985,0.483211,7.549075,8.343761,1308,29650,600.000000,64,18,0,GUROBI,1,2,2,0,62,0,0,1,1,0,1
